year,quarter,EPS,BVPS,Revenue
2025,3,301.9986588888889,0.0,3623336862
2025,2,-165.33588755555556,0.0,2186951294
2025,1,-81.5208588888889,0.0,2329624697
2024,4,2532.971231111111,0.0,3404006929
2024,3,-208.1848291111111,0.0,2658322857
2024,2,282.7898511111111,0.0,3107377401
2024,1,-235.84806644444444,0.0,3085248613
2023,4,557.1354148888889,0.0,6878057985
2023,3,65.57405955555555,0.0,3853889518
2023,2,-86.32343866666666,0.0,3494233044
2023,1,-196.14490111111112,0.0,2802733043
2022,4,669.6086246666666,0.0,9377763051
2022,3,63.736308,0.0,3829661433
2022,2,-372.7303675555556,0.0,2641048841
2022,1,-277.4731126666667,0.0,2398461174
2021,4,-183.58214355555555,0.0,4995322082
2021,3,-227.89586177777778,0.0,1895578799
2021,2,-86.26166466666666,0.0,2879088663
2021,1,-247.6541831111111,0.0,1804561392
2020,4,-287.8561006666667,0.0,9012349770
2020,3,-298.7104933333333,0.0,6749917189
2020,2,-358.17097244444443,0.0,9758604317
2020,1,-407.2896406666667,0.0,4682301467
2019,4,-503.4055426666667,0.0,14170204085
2019,3,-150.36508755555556,174.9787762222,7400477899
2019,2,-423.02083666666664,325.3438637778,7291994586
2019,1,-268.7896137777778,748.3647004444,9578029171
2018,4,-454.42587155555555,1017.1543142222,15821215078
2018,3,-148.06182555555554,2083.9787293333,7379863507
2018,2,-694.4667035555556,2232.0405548889,10582680523
2018,1,-240.59718466666666,2926.5072584444,9174376082
2017,4,-830.810874,3167.1044431111,12824184245
2017,3,-258.9649328888889,4605.5290868889,12322585354
2017,2,-1295.730099111111,4864.4940175556,12972392871
2017,1,-212.109418,6160.2241188889,14435962138
2016,4,-462.4805637777778,6372.3335368889,15643361268
2016,3,-32.651178888888886,8807.0988882222,14791690837
2016,2,-880.9053962222222,8839.7500671111,16643524526
2016,1,-555.5329657777778,9696.6554633333,9623779524
2015,4,1177.0816233333333,10276.1884291111,81128211631
2015,3,-337.7343362222222,9237.1227955556,7684696218
2015,2,-354.966202,9574.857132,17263547066
2015,1,-93.99449288888889,10517.7839228889,15297633473
2014,4,-596.4154633333334,10611.7784162222,15989374194
2014,3,-514.453824,11149.6897244444,11533473310
2014,2,-805.6734868888889,11671.0281548889,13458974011
2014,1,-364.0450931111111,12467.2551851111,11969657043
2013,4,209.84041711111112,12863.99254,103350855214
2013,3,-409.27339955555556,12826.2028388889,5174357235
2013,2,-632.2663831111112,13239.6051871111,22942383774
2013,1,-547.0103446666667,13989.6493482222,13069254461
