year,quarter,EPS,BVPS,Revenue
2019,1,0.0,0.0,325432096454
2018,4,1952.9739685831037,23013.8027376187,431166559144
2018,3,582.9468827898255,21079.7912758754,333311943409
2018,2,973.34040357496,20496.8443930856,519351350718
2018,1,603.0085734079556,22783.4602320908,406400775833
2017,4,1652.3018928376005,22180.4516586828,528606994002
2017,3,1167.8550808461891,20547.1122726851,419714999136
2017,2,440.0210083294134,19379.2571918389,318404333556
2017,1,789.8611443103674,22148.0897947886,268776722061
2016,4,2188.874176018457,21358.2286504782,388983540994
2016,3,1119.0335776478607,19198.0923887305,327750603691
2016,2,0.0,0.0,315940880335
2016,1,0.0,0.0,209085344192
2015,4,1228.1529561737816,17390.5576695082,495551638659
