year,quarter,EPS,BVPS,Revenue
2025,3,53.57827805932088,18098.9618154447,105815294905
2025,2,115.75565475533868,18045.3835373854,90653203921
2025,1,775.6421200303678,19001.2932490867,198915873567
2024,4,624.8307621130224,18582.5367504591,291201050393
2024,3,1755.077950762762,18968.5490087015,359869646594
2024,2,407.70279707483564,17213.4710579388,73169468277
2024,1,761.0134996204034,18055.2407523149,143915642707
2023,4,1079.8969643309044,18511.425227401,233389066144
2023,3,862.7837324396053,17460.0969357801,165197166200
2023,2,537.3136443213009,16597.3132033404,110040575494
2023,1,1083.4335445879917,17525.2159532415,173675610929
2022,4,865.342364853904,16466.6620722077,221654444680
2022,3,905.7442177391621,16601.3197073538,227430708181
2022,2,695.9233069670562,16195.5754896146,223100548840
2022,1,1090.2701929777888,17284.9005092433,226844088944
2021,4,799.2692398336264,16554.4142975518,215530790039
2021,3,834.7364977191764,16079.5518166776,189006725897
2021,2,640.1777076912095,15250.9000328335,182965593694
2021,1,1015.4803536412066,15954.6996614778,239002716298
2020,4,809.8680190901364,15334.3310130361,217935221812
2020,3,698.0875326225902,14524.4629939459,207856950550
2020,2,580.0871161695142,13826.3754613233,168680826156
2020,1,951.5116711331443,14535.1887524576,261246351831
2019,4,689.7500290699561,13977.802484443,202162435534
2019,3,636.9379428463899,13288.0524553731,183617708289
2019,2,457.4316757402132,12651.1145125267,123368945543
2019,1,1015.4216902751913,13854.7288740583,279694271326
2018,4,623.9975996521987,13001.5712661653,137242157108
2018,3,636.5205485656443,12378.8714324091,189720397060
2018,2,846.4594688244188,11742.3508838435,244434822921
2018,1,0.0,0.0,186978164061
2017,4,674.7642403851769,11322.8084125728,252694068955
2017,3,0.0,0.0,207190653334
