year,quarter,EPS,BVPS,Revenue
2025,3,675.113418875,19068.8853252333,333341055969
2025,2,275.3483936833333,18399.4204499333,342033690873
2025,1,676.505659075,19745.2461913833,313541603825
2024,4,591.3438794083334,19369.7487090333,319864421959
2024,3,558.9315879,18783.11101665,316398669571
2024,2,1020.875855225,19423.581384725,336559518334
2024,1,612.8261049083334,18419.8654628,310174013057
2023,4,509.19974055,18112.645516075,301914822516
2023,3,654.9207153666666,17997.21835335,293550324135
2023,2,939.8843853166667,18645.6172667,315031621778
2023,1,561.3369578166667,17858.3418145917,285677759159
2022,4,439.383983525,17367.2593118,303772185075
2022,3,506.093543525,17436.571735725,315271167108
2022,2,1632.0436718416668,18134.49068245,297125236981
2022,1,538.1428583666667,16658.9755139,300449115087
2021,4,929.17846235,16104.3424895167,306397911734
2021,3,482.6546195,15189.9003120083,258235672554
2021,2,1327.1431757083333,15614.5945959,309419688885
2021,1,503.79883515833336,14556.1551347333,281743062635
2020,4,-251.51097485833333,11543.4034807583,278477010760
2020,3,577.0936688166666,14307.1497696667,277241973731
2020,2,573.29212359,14301.8653694,277511686718
2020,1,522.29956798,13861.66476332,282420856913
2019,4,477.83419227,13383.5885403,280595577514
2019,3,451.06949888,12681.96647542,265039636639
2019,2,386.94596139,13029.07217973,272794604860
2019,1,218.01761757,11882.909547,257005039794
2018,4,358.80364629,12575.46522569,250305974990
2018,3,323.90009117,12308.27002868,256641776009
2018,2,159.22730763,11983.80250093,265033472387
2018,1,338.10157662,12205.16058142,240684378743
2017,4,109.44884865,11930.5270184,252846799975
2017,3,348.64349823,11786.56805735,245367074082
2017,2,-430.69801076,11440.37746512,239995375498
2017,1,294.85934827,12591.79091944,216817506127
2016,4,1758.28499306,12288.56850063,218330642854
2016,3,304.66806746,10547.82151951,226536220784
2016,2,-1699.87431236,10243.89848679,240910143606
2016,1,252.35441698,12456.57303084,210233449441
2015,4,581.20576841,12288.27330464,214570708994
2015,3,0.0,0.0,205766802091
2015,2,0.0,0.0,225311208212
