year,quarter,EPS,BVPS,Revenue
2025,3,2164.319285618952,27437.6806959817,513223503013
2025,2,1070.718753038753,25273.3614103627,547564390955
2025,1,1485.1937206253872,25868.1545414939,485123809396
2024,4,380.86950107250107,24382.9608208685,526981183844
2024,3,2268.5412339959007,19597.7704414891,479660604591
2024,2,1063.3736314409648,17329.2292074932,512782404710
2024,1,1709.71447671481,18464.3072098765,506313161584
2023,4,1555.2207635254301,16754.5927331617,623535704847
2023,3,1557.639284999285,15199.3719695886,540730543118
2023,2,871.8050613470614,13737.0661133991,499619147203
2023,1,1541.755541303208,14475.7575315792,494473758984
2022,4,683.4225003575003,12934.001990419,632264502410
2022,3,553.6399139139139,12250.5794899185,565029330938
2022,2,510.85209933743266,11570.4574163687,541181436487
2022,1,532.2000256923591,13121.8187976071,421089366656
2021,4,564.889061061061,12589.6187720578,740020248265
2021,3,573.856037704371,12024.7297108537,540201594532
2021,2,509.23830049096716,11450.8736732923,483694729262
2021,1,496.6435031698365,12784.0263626007,418503409356
2020,4,552.2334263787598,12287.3828595739,558154025754
2020,3,492.09353996854,11777.8760292197,516107089115
2020,2,457.6123801420468,11285.7824893942,454915810575
2020,1,474.2667285380619,12672.3868069498,531306928495
2019,4,447.8137053720387,12198.1200785547,629311271426
2019,3,485.78628704895374,11917.1398733019,568285452902
2019,2,433.68151365651363,11431.3535863006,615716286750
2019,1,433.5750668287335,12615.5592656943,502752498003
2018,4,173.7322208398875,12181.9841989132,733269136910
2018,3,453.2068081414748,11655.7380681157,670376205261
2018,2,468.84041589208255,11242.6159517136,638908697248
2018,1,422.80015677582344,11017.2975764336,577242584597
2017,4,367.10447554814107,10594.4974196578,763002317637
2017,3,0.0,0.0,595032349772
2017,2,0.0,0.0,558963263938
