year,quarter,EPS,BVPS,Revenue
2025,3,347.6724041694003,16393.5148604599,3746555311100
2025,2,592.570304657166,16957.2898255395,5446883782973
2025,1,523.6833305522497,28635.4771860762,4188858500652
2024,4,-51.09285001522739,28115.17611514,3166512759228
2024,3,160.96876737293587,28243.3742657952,3112439410172
2024,2,589.2276531372438,30153.41308359,4012276874019
2024,1,675.0763036489573,29711.2565943396,3365802133209
2023,4,275.19529437059765,29055.4768369654,3410805751549
2023,3,163.60256095901238,28974.8374092981,3259939826334
2023,2,257.7030284596089,31939.7738977083,3759340827888
2023,1,664.6727166284904,31904.4967077889,3289423606560
2022,4,2931.4614294925263,35343.2459605939,3878926698006
2022,3,2549.1571396636728,32696.235728837,3930183669376
2022,2,3391.391632311978,34145.5354930795,5050788697350
2022,1,5402.647969871076,31127.2104963082,5884814510651
2021,4,4200.1616567713745,26870.8648962501,5068837798130
2021,3,1579.2579873226534,22718.0239630105,2858912044603
2021,2,1748.609580224333,21982.6984406323,2979892390494
2021,1,436.2681804169152,20389.6972808029,1974038607405
2020,4,264.3653722268017,20659.3205866284,1972031178072
2020,3,465.27472728301376,20517.7706579025,1965902375586
2020,2,773.7571516253139,20749.7000790143,2219089114060
2020,1,267.87128672812855,20699.6953159481,1710551637493
2019,4,597.8548818802627,20432.8333752941,2322565252031
2019,3,154.8178015311003,19935.6342328142,1906396790823
2019,2,80.22042464669462,19774.2248783022,1931713076851
2019,1,132.27494441708222,20200.5223588704,1596400424034
2018,4,380.3264954261863,20665.6877283451,2369690418168
2018,3,397.44317960558834,20403.1245506412,2207443059828
2018,2,549.4712013816526,20046.5879986076,2732378042431
2018,1,460.47243956611413,20525.6450134824,2085848145214
2017,4,262.68131585514647,20112.6529175396,1556332429954
2017,3,351.52626189692666,20907.9597950434,2136048890206
2017,2,590.150521331815,20598.65452744,2411796738744
2017,1,570.2266098117757,21086.5584285462,1997674500406
2016,4,353.1622056678605,20580.5128970618,1693443943496
2016,3,519.9220097979666,22264.61899965,1847348690716
2016,2,969.1121975929223,21820.9006020158,2458840843075
2016,1,1039.39899730987,22528.8282495864,2013412364402
2015,4,791.6690467070274,21985.9060186842,2381174792456
2015,3,1078.183229164435,24210.2480855421,2295308922977
2015,2,763.4938283507257,23273.4438886789,2833712908394
2015,1,1258.7117678200434,24195.9522671053,2341439198206
2014,4,418.2800609768648,23126.6802800237,2496041510296
2014,3,757.0956090982687,24235.0581070473,2142472351520
2014,2,709.2220763534197,23676.4080218588,2494644516406
2014,1,1003.6243739745923,22998.2453191955,2509542352204
2013,4,680.969582458818,24599.0342792145,2360608290077
2013,3,960.91743149986,26392.7469661172,1914326265957
2013,2,2338.790353217949,25447.6744096184,3236469964645
2013,1,1854.3367745830556,25696.0478548605,2899518341497
