year,quarter,EPS,BVPS,Revenue
2018,4,-59.306248039062375,10471.5209024651,5077477200
2018,3,0.0,0.0,21587216450
2018,2,37.716111016872084,10534.8101730026,220719645500
2018,1,-153.50642788637714,10534.8101730026,0
2017,4,21.56224878565424,10688.316600889,259439107176
2017,3,18.017490156185616,10892.8484360847,270606803175
2017,2,72.3529038046659,10871.9837131564,333581992500
2017,1,62.16570572308366,10800.2743804721,209798238321
2016,4,36.7168792583581,10737.4651036286,324105502051
2016,3,93.11480305715182,11316.8204859066,269761863975
2016,2,69.0599493592659,12192.4668855721,252448370206
2016,1,282.4080731965174,12068.5427705224,261650345903
2015,4,367.3350968283582,11503.7266241294,384348988335
2015,3,0.0,0.0,197049046215
2015,2,0.0,0.0,256166876060
2015,1,131.09264303482587,0.0,174747077499
