year,quarter,EPS,BVPS,Revenue
2025,3,287.2193609178434,11100.1951276187,228031738161
2025,2,670.2660763799744,10913.6417682927,220892840354
2025,1,153.0167610012837,11207.9480136521,153047452901
2024,4,267.55748682926827,10538.139065276,418825084721
2024,3,207.45108270860078,10153.2021769641,341404371090
2024,2,34.60303510269576,9832.1126164763,187836375117
2024,1,-2.905645969191271,9758.4562609499,238751847367
2023,4,192.31171762516047,9684.359787285,343785413991
2023,3,36.235167811296535,9150.67167681,226291290203
2023,2,-104.31002272143775,9348.8204507189,172861499492
2023,1,55.6930648267009,9688.6615583633,225761385636
2022,4,28.699516270860077,9595.5092818742,339519659352
2022,3,-22.151635994865213,9783.0786354108,275346689251
2022,2,126.81865867137356,9695.4609703979,291273115463
2022,1,98.99457813863928,10075.0762175032,300334232287
2021,4,136.82839384467266,10170.7932535494,391478511855
2021,3,165.9494455263158,10565.5986742875,384258284080
2021,2,207.91391542362004,10649.978054371,271367689451
2021,1,164.1753003145058,10592.0718180167,276188264505
2020,4,268.23766897946086,10418.1526181386,307588515674
2020,3,31.592013299101414,10212.4751739987,261129662612
2020,2,-82.90441459563543,10187.5038615533,183523388146
2020,1,-43.99288322207959,10559.9816749487,152812182306
2019,4,179.43078519897304,10509.5896726637,273658358182
2019,3,0.0,0.0,216676292132
2019,2,0.0,0.0,188872191867
