year,quarter,EPS,BVPS,Revenue
2025,3,303.31865661080457,9415.3989357744,11678322322
2025,2,473.81465407278347,9112.0802791636,32055043905
2025,1,59.522637592516396,8638.2656250908,8479292313
2024,4,818.28888416108,8578.7429874983,30096816315
2024,3,44.36024585439369,7850.6078129437,9984052770
2024,2,23.990894333783515,7806.2475670893,6081166548
2024,1,30.776415710613108,7782.2566727555,5080828328
2023,4,1352.789490830602,7751.4802570449,30475969684
2023,3,-327.359443022457,6602.5949119612,1273138519
2023,2,-562.7009292643769,6929.9543549837,300000000
2023,1,-100.6902976926314,7385.6726234872,0
2022,4,-418.630076768578,7486.3629211798,724745455
2022,3,-140.08143514409454,10744.6439032665,3500000000
2022,2,-83.92473970756524,10744.6439032665,0
2022,1,-63.22587816186539,10924.5976005016,3356540909
2021,4,194.46893670224082,10924.5976005016,14824891354
2021,3,188.11107478820927,10795.7958992402,11218709910
2021,2,144.74161707934502,10590.4450197896,9424428163
2021,1,239.06932490325434,11067.9457877566,9452028730
2020,4,130.9142423472759,10833.5626170484,25302716288
2020,3,143.86179256644732,10676.7377884914,9869571294
2020,2,168.25226167859918,10540.5755175623,9692141293
2020,1,139.1941394955636,10978.837063637,9902925405
2019,4,200.09046789375176,10833.1291163881,16759569542
2019,3,175.31639619746704,10635.5303917719,8583353936
2019,2,268.81354382913156,10460.2139955744,16736852509
2019,1,106.07305020839328,10940.7570427743,7503940341
2018,4,189.40115654285535,10837.8983641573,15886934799
2018,3,87.84794404356998,10665.8574258205,7997731057
2018,2,132.39953400882683,10578.009481777,11934387387
2018,1,190.3837415754663,11179.3309510175,11184343718
2017,4,339.0357399859228,11017.0641346126,19511413558
2017,3,0.0,0.0,13397995745
2017,2,0.0,0.0,17486811005
