year,quarter,EPS,BVPS,Revenue
2025,3,134.04773696402992,10934.8921120705,864110795720
2025,2,373.2205256278327,10819.9890658076,965086927800
2025,1,69.17086913694494,10451.2111248428,512463892908
2024,4,62.98037554361389,10382.0402557058,791388173004
2024,3,60.34842665259046,10312.4277935513,581705944140
2024,2,65.6874639826671,10252.0378076876,702464284278
2024,1,53.895305054510466,10183.7155242734,534187293135
2023,4,-196.67256748730645,10129.8202192188,477486755466
2023,3,5.966555299566703,10418.4618338255,547492718911
2023,2,-41.83100287717638,13192.8461947577,624514040424
2023,1,-85.60016896053668,13255.8419924911,366759737948
2022,4,-220.4518580264245,13342.9483393357,916823552963
2022,3,265.4211362507926,13438.9535015725,1053401335486
2022,2,424.2021024619776,14553.7943475208,1313778836169
2022,1,300.428616057501,13955.5396442891,863477676469
2021,4,-80.30528434454638,15703.3290320087,1330847715538
2021,3,421.77686965533627,11214.6936313487,894296715081
2021,2,548.7984246273116,11214.6936313487,1083532356788
2021,1,0.0,0.0,1062277138034
