year,quarter,EPS,BVPS,Revenue
2025,3,150.26888173333333,31253.9789562,263330917882
2025,2,2156.495078133333,31103.7932864667,620871605398
2025,1,401.0164614,30918.5360162667,102210311920
2024,4,844.9464347333334,30559.0222188667,45556473631
2024,3,1424.7180446,30399.9194011333,409727436236
2024,2,2408.2446283333334,28768.2468624,656325658564
2024,1,204.63300893333334,27840.9794995333,23693383895
2023,4,1010.0425284666667,27651.8720883333,66232062851
2023,3,1555.6053415333333,27431.8659962667,503702795387
2023,2,2072.9688856666667,25876.2606546,463243242243
2023,1,215.41150253333333,23803.3015261333,33467967203
2022,4,1307.9765834,24987.8900236,103745795377
2022,3,1394.8032175333333,24377.5598616,419151663635
2022,2,2141.1641549333335,22982.7566440667,429753720071
2022,1,127.315049,20841.5924890667,76856086214
2021,4,504.8932282,22014.2774401333,66250691829
2021,3,620.0225075333333,22121.8207238667,248686315601
2021,2,2124.6417854666665,21501.7982163333,403130642604
2021,1,189.82810633333332,19377.1808562667,96271067870
2020,4,562.1458792666666,20387.3527499333,25064417316
2020,3,926.6626357333333,20259.3830343333,268527975009
2020,2,1748.5968418666666,19298.3927027333,329518335849
2020,1,79.96103093333333,17549.7958608667,58753303553
2019,4,239.9421938,18769.8348299333,11787422464
2019,3,627.7529536,18925.1853726,191143659861
2019,2,1987.6491153333334,18297.432419,349147810995
2019,1,159.47829093333334,16309.9345914667,108739477370
2018,4,126.99600486666667,17450.4563005333,44149159805
2018,3,725.2540761333333,17703.5872864,204916989143
2018,2,1748.9565846,16979.3552982667,283341690999
2018,1,135.32982886666667,15229.0233696,85729534889
2017,4,-23.624474333333332,16393.6935407333,39365130398
2017,3,659.3114433333334,16858.3588312667,217425766229
2017,2,1748.2981112666666,16199.0473879333,263494176892
2017,1,108.18593393333333,14450.7492766667,70405809903
2016,4,89.80964326666667,15542.5633427333,43541193246
2016,3,766.0942330666667,15808.2588214,186890682346
2016,2,1503.7760284666667,15056.3041120667,240240699670
2016,1,80.58229673333334,13562.2875847333,60515222679
2015,4,90.23383233333334,14681.705288,62239639913
2015,3,660.0989367333333,14894.0126557333,181386151836
2015,2,1292.0987926666667,14233.913719,179934688945
2015,1,60.1981208,12941.4789528667,58185499021
2014,4,73.915022,13705.6137423333,52915724761
2014,3,604.315524346883,14379.283123979,112300341701
2014,2,1268.3344818994276,13774.9675996321,155163123529
2014,1,64.33663687657015,13440.2622800406,60463208649
2013,4,-59.279305012149415,13724.3434581223,47812533691
2013,3,751.1278620457697,14413.7917817086,105870610447
2013,2,1439.8636853918701,13269.7257053333,171629376645
2013,1,89.75758247189161,11612.8596486667,61112119732
