year,quarter,EPS,BVPS,Revenue
2025,3,69.75098444209732,10678.886221976,187383993923
2025,2,45.780425974401204,10609.7066665361,195408771816
2025,1,50.464774732743585,10570.0606900997,191760881028
2024,4,-17.790292857644733,10519.5959153669,230291215360
2024,3,38.147891322899774,10688.1060612794,332522436393
2024,2,140.08961545968378,10650.6036314797,486305856752
2024,1,-14.48354023833031,10560.8305728419,143443612194
2023,4,13.920895214991011,10532.0825734334,220891368139
2023,3,29.063236322279938,10527.9387830242,268155348930
2023,2,90.77400920760748,10499.140599243,315872890657
2023,1,19.93537283810056,10411.8772355813,285214582674
2022,4,14.830355536252302,18545.8809938559,278190832715
2022,3,31.615018280432047,10380.583056946,335744523084
2022,2,46.29835341198587,10342.063208536,392016620732
2022,1,22.535626150256395,10300.9877490545,271358855346
2021,4,51.89711201917013,5415.1150113861,278437557079
2021,3,2.4117632659698027,10226.9931105273,173946951262
2021,2,69.63594964761904,10983.8441752,296520761372
2021,1,33.849661285714284,10902.000449,219474929784
2020,4,37.54367371428572,6609.4940967143,130681408348
2020,3,53.22176112380952,10855.6725847905,247172960643
2020,2,95.29500061666667,11403.2697627167,267192121680
2020,1,59.982740066666665,11358.9153866667,123467645138
2019,4,111.95878976666667,11266.87911115,204848405526
2019,3,74.72002346666666,11163.8109358333,114190426146
2019,2,37.10691441666667,11077.5596486667,117351539581
2019,1,73.5997041,11062.2894555333,137203454611
2018,4,68.71303883333333,10988.6897514333,143218500980
2018,3,145.69487913333333,10902.3488724333,104265146871
2018,2,151.53428491666668,5760.7056599667,156666441647
2018,1,77.64450008333333,11762.0532172333,149531677971
2017,4,138.0341862,11606.7642170667,93533238799
2017,3,109.27612783333333,11491.4707583,103745562199
2017,2,0.0,0.0,132102466306
2017,1,351.9454186666667,0.0,166242053248
2016,4,151.24603336666667,10776.343203,61079701397
