year,quarter,EPS,BVPS,Revenue
2025,3,-208.77082009770854,635.7005639705,171930927
2025,2,-553.4452828710233,844.4713840682,-132031460
2025,1,-16.150525881863956,1397.9166669392,5660139216
2024,4,122.3956163338171,1414.0671928211,15536827735
2024,3,-544.3437679796679,1372.8769244292,63091319
2024,2,-810.4897311992805,1917.2206924088,152277097
2024,1,-162.6721104774364,3911.0708921186,22431819
2023,4,-197.76233791895777,4073.743002596,11239768918
2023,3,-211.26836620946696,4275.3006768055,24607818
2023,2,-245.97172305008755,4486.5690430149,44247573
2023,1,-188.95518509433577,4732.540766065,22431818
2022,4,-1125.2224361044678,4942.0966798853,7572245991
2022,3,-200.27354237784726,6022.1734031057,22493262
2022,2,-226.96836832171596,6222.4469454835,23795455
2022,1,-200.51884248754794,6449.4152935685,4374757255
2021,4,654.3855345012026,6649.9341360561,33431139327
2021,3,-52.56555691829685,5984.9531969229,997587036
2021,2,-290.9671530290332,6037.5187538412,1404336055
2021,1,-291.9753225267949,6328.4859068703,3201008245
2020,4,-1094.00481872134,6268.9651189332,4927277709
2020,3,-316.2500720208772,7439.056548994,5195182400
2020,2,0.0,0.0,273502000
2020,1,0.0,0.0,414928700
2019,4,-408.45763843748085,8622.737098315,4332639600
2019,3,0.0,0.0,0
2019,2,0.0,0.0,30678664000
2019,1,0.0,0.0,8639111974
2018,1,0.0,0.0,42447515238
