year,quarter,EPS,BVPS,Revenue
2025,3,287.89882877165354,12819.8726593465,248898839617
2025,2,411.0681561102362,12529.4501977244,344302001219
2025,1,79.41460929133858,12644.4522987323,283716370636
2024,4,120.511888496063,12254.5960161969,384258368165
2024,3,166.39929302362205,12550.2859861102,317880477278
2024,2,346.11634132283467,12345.5621969291,385766680639
2024,1,60.84785611023622,12568.8124089213,292395523840
2023,4,-121.4016442047244,12500.276206189,324106669028
2023,3,138.26618222047244,12643.2735999606,308058632496
2023,2,421.4242798976378,12518.3900674803,380242505746
2023,1,3.7185058503937007,12868.8148782205,335038314311
2022,4,-32.734697354330706,12838.0203408425,385565465031
2022,3,257.2018670708661,13438.9263124016,395448882019
2022,2,294.58439907874015,13130.2231852913,485401028443
2022,1,279.58015592125986,12899.6868781496,409486814991
2021,4,54.37150983464567,12594.8571946063,433893243795
2021,3,-59.722589015748035,12645.3129024409,193122617200
2021,2,545.9339627716536,12121.3357297402,407613177082
2021,1,258.3262719055118,12121.3357297402,466088647895
2020,4,201.1854901417323,11762.5769646772,514652195005
2020,3,62.163215448818896,11388.5740412283,718969590598
2020,2,71.33427407874015,11573.3861881417,657153900857
2020,1,-18.38097464566929,11470.0430547559,810805376913
2019,4,-72.33267455905512,11308.4902217874,1072928991028
2019,3,-69.11367436220472,11578.4388798976,941460093023
2019,2,209.77569582677165,11781.6858716929,996959264960
2019,1,6.820427874015748,11665.4032744016,874373459334
2018,4,129.3920289055118,10952.8104390551,2079858681323
2018,3,0.0,0.0,1452421368125
2018,2,372.57447432283465,12175.7450167008,1546636889523
2018,1,0.0,0.0,1391093256244
