year,quarter,EPS,BVPS,Revenue
2025,3,1197.688412668562,14027.8150055588,4932328312020
2025,2,1196.301933176411,12830.1265928903,4776002053988
2025,1,1035.1970812936643,13633.8349011516,4584249763278
2024,4,1463.3473201810311,20897.9494905013,4817456864602
2024,3,1415.8134597146297,20008.3120733506,4555567390291
2024,2,1486.339921141041,18592.5246604752,4231998407717
2024,1,1326.4211579319974,17106.6095840605,4012638334069
2023,4,1156.9678345193188,17778.141675106,4120734656743
2023,3,1244.1405672138924,17110.6283335227,4008449256050
2023,2,1883.8875198118844,23799.8976749885,3891894208256
2023,1,1764.5093066160068,23921.6457643642,3791192666091
2022,4,1507.0770775982514,23158.0424149497,3933390284253
2022,3,1674.4976657699995,22331.3973314904,3730788086603
2022,2,1733.08555489592,20658.355751664,3606185491754
2022,1,1635.7443157333066,19925.5404786889,3472604694002
2021,4,1393.1040878817341,18291.2648036588,3463710411116
2021,3,1368.4266154659692,17516.5711710266,3105145384629
2021,2,1432.0903668506714,17148.1445555607,3184812093342
2021,1,1349.798841188076,15717.104225107,2944466092251
2020,4,1684.476398754189,17246.7889212478,3187054176207
2020,3,1463.170693094961,19165.2186831452,2895180109610
2020,2,1361.245954605375,18002.3406442718,2787543441027
2020,1,1247.3973511263282,17546.1583438994,2682425266643
2019,4,1525.7211464922784,18929.1987389455,2872533786263
2019,3,1367.3744047181585,17989.3413783957,2670327766367
2019,2,1362.515173546822,16620.8989290767,2548194603259
2019,1,1177.1561871045028,16168.4742176134,2380554682068
2018,4,1122.7107866927827,16561.5213983714,2359225218093
2018,3,1260.7629924425366,16917.8464137987,2295221030478
2018,2,1140.0513435499092,15684.4632214248,2184773265172
2018,1,1116.9393948099053,21813.1166246977,2015825683233
2017,4,843.2982438728372,20138.1122049697,2072092168577
2017,3,1545.2917250125643,22504.2893757854,1959895073969
2017,2,1586.964003381579,21959.3978865121,1891047858082
2017,1,1389.372007298231,23382.4883773222,1754866102546
2016,4,1868.5318832384373,21885.7773721573,1751888345983
2016,3,1799.301355933648,23918.2906720311,1750836354982
2016,2,0.0,0.0,1638823696041
2016,1,1136.5802295644128,21734.1807222638,1552145765226
2015,4,1483.0110935734142,0.0,1514232707497
2015,3,0.0,0.0,1457299279815
2015,2,0.0,0.0,1323815359155
2015,1,0.0,0.0,1285053708764
2014,4,1505.275323995764,17715.5647779399,1215925168726
2014,2,0.0,0.0,1190509840940
2014,1,0.0,0.0,1220531186687
2013,4,0.0,0.0,1126850640793
2013,3,0.0,0.0,1094887466662
2013,2,0.0,0.0,1086574380717
2013,1,0.0,0.0,1004201515943
