year,quarter,EPS,BVPS,Revenue
2025,3,288.8317219471947,20688.029995462,39957018030
2025,2,341.38224826732676,20399.1982735149,38367244818
2025,1,222.97579075907592,20057.8160252475,36602073882
2024,4,272.40584537953794,19997.0514556106,43256200462
2024,3,433.1403795379538,19724.645610231,42907019388
2024,2,404.9444941419142,19291.5052306931,38191931691
2024,1,229.35455882838284,18886.5607365512,34987802424
2023,4,437.9227655115512,20019.4173988449,44693521489
2023,3,365.2206382013201,19581.4946333333,43633501184
2023,2,307.68481344884486,19216.273995132,42486622044
2023,1,261.38124290429045,20053.8037031353,41460021394
2022,4,311.7387681518152,19792.422460231,46568765212
2022,3,599.4692195544554,19480.6836920792,49992390715
2022,2,268.3507684818482,18881.2144725248,35823498410
2022,1,194.07085090759077,19112.8637040429,35943226119
2021,4,213.46430099009902,19104.0238762376,40813835596
2021,3,437.45775825082507,18890.5595752475,37472658400
2021,2,988.208148349835,18953.1018169967,44939369079
2021,1,380.2266418316832,19371.1642957096,39432368170
2020,4,849.2095778877888,18990.9376538779,50265557714
2020,3,0.0,0.0,45371915233
2020,2,1016.8950834158416,0.0,45311635143
2020,1,773.033050660066,0.0,48119803133
