year,quarter,EPS,BVPS,Revenue
2025,3,-318.2757310513271,23199.9589920857,198146057575
2025,2,-696.0388610233503,23532.8535744018,128933218150
2025,1,28.21955693271968,24243.5926459093,126021139906
2024,4,140.4563498908985,24370.1369231973,191762905594
2024,3,29.145196251301403,24330.9291847754,152587153072
2024,2,52.18472897784132,35212.466989035,145632739919
2024,1,74.1389217325249,35208.9549505194,221496606406
2023,4,1300.9542568477057,35146.430757508,230358506932
2023,3,-272.4057531101103,33851.9376685642,280077040412
2023,2,-87.5547672014826,34147.2050862919,269064156858
2023,1,-546.1247121434924,34265.8852066863,156896160634
2022,4,145.02576217705993,34842.1882580059,261932289707
2022,3,1865.8432470446144,35079.2961830938,213092218496
2022,2,1675.568455809818,34205.7679131346,1274759979627
2022,1,1787.7152525333333,37444.3782835667,1416855678639
2021,4,2085.8570873,35682.2945331167,1398737742918
2021,3,420.9568349537037,33065.4467578704,629259693484
2021,2,2663.010196435185,32688.3615378704,1258132845764
2021,1,1972.0583933888888,37010.1576876667,864190034302
2020,4,3284.8563748409006,35096.5955977134,911065461455
2020,3,2415.9562177424286,31734.8302514187,907248060480
2020,2,1658.269113767862,25772.6672802205,916473802912
2020,1,1188.4292201111111,24367.3559302222,721943783485
2019,4,2005.127856361111,28214.3103768056,784735038360
2019,3,1152.96762725,31932.388065125,666847528397
2019,2,1275.258290875,32109.958212625,542656642459
2019,1,1402.753645464904,32106.7171282314,545251776717
2018,4,3901.6966773914105,37121.688793486,646256698175
2018,3,1272.4204618148888,33126.329047053,360360545012
2018,2,1178.9115501426543,31868.3080279883,566763218678
2018,1,3019.3466698756756,43137.2190449728,680305566937
2017,4,5951.605874675246,40148.8527049418,775540290676
2017,3,688.5830964024823,34066.5831068754,365248485615
2017,2,1126.8719962713278,33240.4456726475,513125476012
2017,1,2406.781030626082,34687.1540156161,515874613329
2016,4,-473.8309196641766,32375.8147496357,260444038197
2016,3,1523.6032154401487,31782.7675478801,300472666512
2016,2,2202.1131750381824,32506.5343586467,342964783038
2016,1,2434.690650654867,30435.336242049,387583643657
2015,4,1217.8961827439575,27930.0613028551,298091637103
2015,3,1528.3665382246493,26774.6999445154,271218273111
2015,2,1532.9765255033788,25128.9445307107,297995354810
2015,1,513.6339254705417,24004.2948113079,217834931492
2014,4,1318.7232262639202,27187.3362193553,293569104516
2014,3,1264.8126667264994,26640.3903062783,260956060974
2014,2,905.4960117194204,26132.4953507334,384164995986
2014,1,310.26825100972104,25168.9163124753,169575208710
2013,4,3807.7943440853064,24892.4359883046,272422778981
2013,3,61.4313482381385,22689.6281920011,190352972626
2013,2,253.45836326299633,22046.739478827,180131880789
2013,1,663.8859353093854,22719.2943001258,250613253813
