year,quarter,EPS,BVPS,Revenue
2020,2,0.0,0.0,776443327
2019,4,-992.2934620600878,0.0,4780300954
2019,3,-938.4145560076316,0.0,7422085405
2019,2,0.0,0.0,8113517543
2019,1,-942.0820795117578,0.0,4147190541
2018,4,-932.8902596602533,0.0,4084741191
2018,3,-958.638647495575,0.0,10308060259
2018,2,-853.5984006850102,0.0,10756072026
2018,1,-969.7177473047835,0.0,4865743256
2017,4,-1036.8038220812357,0.0,6218141285
2017,3,-973.3762704181321,0.0,12714806317
2017,2,-1067.5059362112959,0.0,16489801312
2017,1,-584.1334717835551,0.0,12455893611
2016,4,-3805.2987893708478,0.0,11133139973
2016,3,-546.5199197296738,0.0,22831517298
2016,2,103.26131848378273,0.0,20882115038
2016,1,-1469.8727224789095,0.0,41346180951
2015,4,-847.4087492356849,3283.8982436154,40151419077
2015,3,-583.860545203779,4173.9566685286,51636386011
2015,2,-1320.017618624003,4757.8172137094,53965505217
2015,1,5.970745764659909,6077.8348323334,57639020719
2014,4,-10.632747189848976,6071.8640865687,32418295184
2014,3,13.887506976530354,10382.5396822978,71438535556
2014,2,-11.895290623635152,10368.6521753672,49285369352
2014,1,21.05133422982323,10384.2098961451,68450888196
2013,4,1.2616467599935637,10363.1585511344,39049577844
2013,3,14.987869411304967,10348.9913311726,85705361343
2013,2,-14.231232397765671,10334.0034617842,66585118689
2013,1,22.821565018504472,10350.3692417305,88352897386
