year,quarter,EPS,BVPS,Revenue
2025,3,474.31580635775,14507.9872320543,9296201037269
2025,2,361.70277396425,14091.6933983063,5891195424631
2025,1,296.1619966215,13576.9832145538,5681992269243
2024,4,437.1322804165,13232.1576121535,9305951454547
2024,3,235.9460734685,13007.0906181343,7717064516661
2024,2,205.2100812785,12842.3203249705,4653667942946
2024,1,118.890719457,12689.9213036885,4590332818742
2023,4,291.0991103315,12454.5204157295,7606796775985
2023,3,78.208738057,12593.9652626825,6199494449985
2023,2,139.54590328275,12397.6598901505,4161201110960
2023,1,137.45357210475,12407.3496957265,4142023748446
2022,4,227.90680704225,12258.3007519923,9036882413863
2022,3,208.7737543675,12598.35608303,5853642946833
2022,2,254.2795624875,12383.923600648,5577098387609
2022,1,263.773575734,12422.365463382,4904892296352
2021,4,359.3791438265,11972.3112480003,9678063314211
2021,3,310.1343247635,12293.7271078463,6160837535669
2021,2,189.96617431375,12104.0924931915,5696229756147
2021,1,204.48281377725,11961.202139925,4854675960019
2020,4,666.9180265215,11896.826757348,9063293635676
2020,3,245.6541022275,11243.5926206248,6168018253375
2020,2,100.5875891765,11611.6714615685,3212212463678
2020,1,56.547444495,11676.787013749,2752481844194
2019,4,365.6831714095,11705.035951636,7131788790943
2019,3,245.099843937,11423.602817395,5336614600534
2019,2,166.226674203,11430.5154222595,4202230400107
2019,1,0.0,0.0,3416222217281
2018,4,366.0776565355,11236.3097244435,7812961364518
2018,3,0.0,0.0,4850815747566
