year,quarter,EPS,BVPS,Revenue
2025,3,904.6300855,18872.668116,64031142568
2025,2,1340.56715725,19168.0380305,60410422874
2025,1,-229.53712525,18245.72087325,14535783628
2024,4,-562.939829,18475.2579985,31659910298
2024,3,1188.3708505,19038.1978275,62918423034
2024,2,1208.56563275,19049.826977,65262890000
2024,1,-257.099548,18291.26134425,14553535815
2023,4,-307.015272,18548.36089225,27244375483
2023,3,949.84625625,18855.37616425,64135260257
2023,2,911.90527625,19105.529908,62627984723
2023,1,-53.287692,19038.12463175,14652878029
2022,4,36.8491405,19091.41232375,23604577450
2022,3,1379.110383,19054.56318325,59254884722
2022,2,1433.82600125,18675.45280025,58985841499
2022,1,-217.006462,17779.32789475,11522946316
2021,4,6.193644,17996.33435675,21122426881
2021,3,707.4327875,17990.14071275,51871144545
2021,2,816.13184075,17282.70792525,47692777158
2021,1,-742.0571765,18510.8380845,6948865819
2020,4,-794.393133,19252.895261,18831925922
2020,3,1899.045151,20047.288394,61992427920
2020,2,1351.96610625,18648.243243,56912653387
2020,1,-387.19237025,18438.69531325,14184352623
2019,4,424.195178,18824.257597,29180663960
2019,3,926.5600915,18393.42602175,60959427888
2019,2,1309.95511075,17466.86593025,56383743793
2019,1,-187.86079475,18605.07557975,15828932998
2018,4,801.16664,18792.9363745,33610269004
2018,3,785.5735375,17991.7697345,48508742112
2018,2,834.02142775,17206.196197,57190840599
2018,1,161.903155,16404.6393015,19881517110
2017,4,396.4623055,18377.88326425,32210713126
2017,3,1502.894607,39646.55184625,58634115744
2017,2,1283.7641905,38143.65723925,59145064611
2017,1,298.670246,39126.54629875,15283249849
2016,4,755.89380425,38827.87605275,37856405537
2016,3,1769.5682295,39071.9822485,73143852409
2016,2,1459.55777975,37302.414019,63911830238
2016,1,292.6686395,38267.76148925,14291013753
2015,4,815.681376,37975.09284975,40960274063
2015,3,1877.7526765,38159.41147375,72726735304
2015,2,2383.168995,36281.65879725,70976304218
2015,1,256.09927525,36946.198781,13270701288
2014,4,943.21915775,37132.629277,55448200089
2014,3,1937.54575425,36189.4101195,103014380555
2014,2,2351.7892955,34251.86436525,126072179432
2014,1,535.704144,34409.3183385,24901083882
2013,4,973.78760125,33945.06205825,56090884810
2013,3,2081.19276375,33763.86420075,92543621358
2013,2,3388.11649,31682.67143675,135834219109
2013,1,688.585661,31439.3627825,38696665773
2010,2,0.0,20898.91984775,105416207798
