year,quarter,EPS,BVPS,Revenue
2025,2,99.3680421624498,11171.3487727871,8165308318
2025,1,74.48285174718288,11069.7758230763,6873045550
2024,4,35.11113827947774,10995.2929713594,4956141630
2024,3,45.8195178906169,10960.1818330799,6131245052
2024,2,75.68980090290964,10914.3623151893,8757219322
2024,1,140.2443240571661,12865.5965500888,9167562259
2023,4,147.7502539698509,12725.3522260317,8823851877
2023,3,137.67130416442677,12598.6670924649,9963995363
2023,2,151.574525863349,12460.9957883005,14325303097
2023,1,122.54974554530033,12325.9909824794,3159964322
2022,4,81.7821777467744,12186.8715168918,9760494670
2022,3,41.00999727878623,12104.804355639,2386063424
2022,2,-381.2125601894304,12104.804355639,-5691729806
2022,1,446.43001516970617,12492.162971917,18567083200
2021,4,171.3294681390716,12045.7329567472,9416754442
2021,3,16.94404675396773,11874.4034886082,3258081077
2021,2,57.70099603090669,11857.4603325517,4196895655
2021,1,24.233809141702512,11827.5172896468,3756140453
2020,4,108.38872820528982,11803.2834805051,4603744901
2020,3,0.7237327719592558,11686.8264593191,2599205726
2020,2,0.5804900184787991,11686.0734231051,2926578830
2020,1,17.920177678895563,11691.0617459465,2914510219
2019,4,79.58555629427654,11673.1415682676,2875237462
2019,3,70.94016399403878,11604.5703961639,2766225999
2019,2,33.95330427472987,11533.6302321698,2874654493
2019,1,49.2878739926509,11501.6257980762,3226161989
2018,4,18.608494186966173,11452.3379240836,2768887631
2018,3,12.834799960484824,11424.3354848094,2739374417
2018,2,23.294209420732983,11407.4280600473,1823661726
2018,1,13.823359953551487,11386.2601921577,2752484195
2017,4,23.984834233232867,11372.4368322041,2664297905
2017,3,17.616371373558408,11348.858372793,2978976857
2017,2,22.713967372101436,11331.2420014194,1555001341
2017,1,21.14486357264459,11310.0023995469,3208490433
2016,4,11.176533894869028,11288.8575359743,3140683584
2016,3,9.381582594898543,11276.058317399,3601030286
2016,2,33.491455267548645,11266.6767348041,3950819248
2016,1,3.30233209232248,11234.1766531677,2279237561
2015,4,24.387568568223376,11230.8743210753,3374311530
2015,3,2.4213358008095764,11205.8210104067,2514393780
2015,2,3.049505272427438,11203.3996746059,2731070177
2015,1,9.130794473208772,11377.1431219958,2957204618
2014,4,56.92241534691839,11192.5534131839,2826368475
2014,3,1.745117300071091,11177.5781565625,2755022338
2014,2,1.5928561774885923,11180.7611017946,3879939442
2014,1,1.8047143058874582,11179.3858348702,3628309369
2013,4,1.9657621307649278,11177.5811205643,4160941456
2013,3,1.8302382001443638,11174.4999907879,4770908207
2013,2,2.049241787419265,11172.6697525877,5516505645
2013,1,1.742961086643083,11170.6205108003,6035349374
