year,quarter,EPS,BVPS,Revenue
2025,3,407.92018632940136,13171.1835677665,1664891762002
2025,2,178.1276520861456,12763.2633814371,1073464552077
2025,1,209.93628972083084,12880.6406375576,999576787007
2024,4,315.3593621076859,14506.0565217551,1181539701299
2024,3,308.89283067264836,14190.6971596474,1137722605569
2024,2,435.23503939492775,15033.625500917,1093900018066
2024,1,393.27585469082186,14731.758452758,863078067158
2023,4,254.6762185770594,14338.4825980672,861493663402
2023,3,283.8110898019601,13810.829671753,823664590659
2023,2,343.8488261578658,17319.5255866815,587519697833
2023,1,270.6751120999246,17531.4495811066,630485845565
2022,4,274.11917959082035,17260.7744690067,886679177287
2022,3,361.0812770184184,17486.6552894159,758977756122
2022,2,610.9208943312196,17125.5740123975,1187789521842
2022,1,618.4140746942727,16640.1375900392,1067998337779
2021,4,489.0984647013239,16021.5692936538,1122361413380
2021,3,696.5077120348839,15866.2558991672,1093161069899
2021,2,618.8962966300614,15168.8513268151,1081640867668
2021,1,1054.954174185512,15611.5230652011,1162949486865
2020,4,450.11529477537744,14556.5423372816,848269470815
2020,3,465.66424889018094,14606.4270425063,513959884994
2020,2,492.1352322662486,14143.3314641537,438832926027
2020,1,330.97180317054585,14431.0331796806,446843690838
2019,4,417.0878205459557,14100.0682960466,408518662066
2019,3,368.6998409704484,14171.3546648511,388815558441
2019,2,362.1292026167138,13806.9852001976,469446798439
2019,1,268.2220667024962,10152.076879365,293350024669
2018,4,238.56279666203912,10124.4010786943,402149244675
2018,3,1014.9653490654194,23666.7058520958,418501548448
2018,2,1136.5186775773975,22653.8245733784,690750404143
2018,1,2505.751524775336,23389.3010964562,838415182119
2017,4,1436.9912891348738,21510.7189427698,670011166262
2017,3,1051.0462709961587,20135.6573690674,340184053855
2017,2,1055.6795591350356,19097.218568693,309670422170
2017,1,731.8875845850054,19373.253802904,217711991734
2016,4,584.3561820749296,18795.9955043252,226814646815
2016,3,643.3143653884576,18700.5409915676,218611064930
2016,2,647.1008902882002,18057.7390917502,181874526135
2016,1,508.65477545365604,18421.2530384909,166375769645
2015,4,545.1949122538795,17912.9923069547,171031677451
2015,3,356.36270032436187,17867.8271566136,143210538431
2015,2,409.3363556631807,17512.1095342614,136016325077
2015,1,366.2483157266705,18705.2055749684,130377686882
2014,4,439.7149560885489,18535.2401012378,190975537202
2014,3,826.927198621723,18790.3733995811,216720646191
2014,2,744.1217053490564,17963.4474589054,196036847768
2014,1,945.7184291431014,18442.7923129706,226475252669
2013,4,800.5179819961144,17663.7148952533,199105286949
2013,3,444.19314261324,16766.23420509,141802373331
2013,2,604.3588983115641,21023.8327196728,143662490451
2013,1,625.3648551237987,22061.8208862158,150189426969
2012,2,819.3707664359206,21185.2517864997,173967142235
2010,2,0.0,26561.551845662,156568883834
