year,quarter,EPS,BVPS,Revenue
2025,3,1734.1189783133268,25815.9752505678,564754423731
2025,2,2665.982450216232,24081.8562722545,600844248598
2025,1,1550.5283275359857,22118.2222571873,502295319475
2024,4,1553.0971768427148,20567.6939296513,559284732834
2024,3,1303.6427072322267,21014.5967528086,453308574257
2024,2,1483.6630708730415,19710.9540455763,459100162290
2024,1,1103.5488096565634,19762.4200325543,481707453612
2023,4,1656.4906869482525,21658.8712228978,533843721606
2023,3,787.6516053560018,20297.921404327,385514762403
2023,2,1603.4789372489677,20297.921404327,319069549699
2023,1,1057.6416321565123,20297.921404327,603837288820
2013,3,1872.6184283927555,20547.2345559817,323847843320
