year,quarter,EPS,BVPS,Revenue
2025,3,235.5150373224405,12360.9697060401,913523162056
2025,2,262.75091518002876,12339.1597331671,947061532948
2025,1,308.67570055245875,12705.2425272091,735015629632
2024,4,270.5500021922218,12621.9490386159,1009970341006
2024,3,240.6194344054751,12378.129657081,794687787410
2024,2,253.2091093095286,12138.6137366137,813708104718
2024,1,233.21333966417023,12481.742477785,689885358143
2023,4,124.94430168192046,12258.6564228407,861265139251
2023,3,245.14060616952057,12130.2777389363,673619891563
2023,2,287.3844018766508,12358.4777315479,612279471417
2023,1,221.3474625991821,12075.8053418622,539396379613
2022,4,201.84321485605554,23319.9509082504,616486159257
2022,3,237.53189693326397,23153.8177331972,563239073022
2022,2,268.9471848194109,24870.6202297751,483996126602
2022,1,253.79414516024494,24605.2372061591,430887156431
2021,4,247.56630965589613,24338.9374753337,613868448984
2021,3,311.42156569599933,24104.9444677318,452148771384
2021,2,270.65259104608657,23793.5229020358,428085232474
2021,1,189.50215214001702,23518.9957349108,365202500651
2020,4,311.1544385643888,23329.4935827708,325676508325
2020,3,118.58661130510795,22989.0138330108,296194221040
2020,2,0.0,0.0,244721083890
2020,1,0.0,0.0,304513775594
2019,4,-172.74912068253576,22197.5988199335,316594651941
