year,quarter,EPS,BVPS,Revenue
2025,3,477.5625376758765,14977.9681732401,264413875642
2025,2,740.1762812443301,14500.4056355642,522466014252
2025,1,165.72947872614225,14278.9621813558,50365889677
2024,4,266.16778800863796,14113.2327026297,276449543160
2024,3,420.81272479096793,13951.5991387104,279756206395
2024,2,482.4583404003967,13530.7864139194,252193254064
2024,1,-75.95272119026671,13336.5553365846,44100156229
2023,4,281.3370470297638,13412.5080577749,156491076740
2023,3,108.42221894068429,13131.1710107452,184072729098
2023,2,375.00672727380237,13022.7487918045,235206632975
2023,1,-73.90033604469973,12768.2594207197,32923576411
2022,4,38.487457142474796,12842.1597567644,115762890188
2022,3,97.48756614382327,12817.0593146282,171780221355
2022,2,601.6815935234682,12719.5717484843,239071885139
2022,1,-146.8829110782404,12208.7650790645,25229924849
2021,4,385.92817184587756,12355.6479901427,229123914010
2021,3,16.671732752656723,11969.7197776061,59549268808
2021,2,1017.4363944065581,11953.0480448535,186869745749
2021,1,-164.7495029974204,10935.6116504469,19487271115
2020,4,40.825680935547446,11100.3611534443,110617618142
2020,3,452.5232513647342,11059.5354725088,134233461347
2020,2,198.61595611688182,10607.0122211441,129741526277
2020,1,12.588325325377973,10408.3962660386,62785578874
2019,4,166.1052874445696,10395.8079397018,85229570937
2019,3,311.4888510526527,10154.0701106632,103091236075
2019,2,262.3255513943303,9842.5812596106,138276333019
2019,1,88.83498596286702,9662.5121684717,39479218386
2018,4,254.0682935850567,9566.1744093154,155317566280
2018,3,483.95719390227316,9312.1061157303,172998715639
2018,2,-154.48410214165477,8828.1489217503,66522291613
2018,1,-179.76185726160602,8982.6330238919,32957933853
2017,4,-2342.4830175743473,9162.3948811535,115692850156
2017,3,-438.47770459498645,11530.645100012,148417419961
2017,2,-469.6055655886244,11969.122804607,71049415532
2017,1,-109.45406468440336,12438.7283701957,90036382603
2016,4,-107.29365196686359,12558.242411919,159971002196
2016,3,0.8267012379627812,12657.7515611856,91495029707
2016,2,0.0,0.0,156677618296
2016,1,65.68416380794227,12561.5903134913,160493686411
2015,4,910.9925742928606,13214.4577788217,363577805172
2015,3,0.0,0.0,185477763974
2015,2,0.0,0.0,132028421396
2015,1,0.0,0.0,47154917627
2014,1,0.0,0.0,149263695362
2013,3,0.0,0.0,344655103938
2013,2,0.0,14285.4752951283,161944432562
2013,1,0.0,14285.4752951283,241480910542
