year,quarter,EPS,BVPS,Revenue
2025,3,601.6630021571531,14083.384431164,36616813315
2025,2,595.1769579855143,13481.7214290068,32657986974
2025,1,251.11435059214568,15077.8749293092,19134111469
2024,4,347.42272896537605,14826.760578717,25027616979
2024,3,400.02891642341154,14479.3378497517,36930039623
2024,2,860.5361105529074,14079.3096738556,46520297351
2024,1,636.5888965661741,15621.2588191849,40522115728
2023,4,620.4622120581527,14984.6699226187,42332907020
2023,3,731.2651454530736,14364.2077105129,43841135844
2023,2,826.3083670874623,13632.9425650598,43810079929
2023,1,381.050647526893,15423.461118291,28640517776
2022,4,416.1283903732875,15042.4104707641,38050929068
2022,3,495.1355483121348,14616.9579098472,42825932414
2022,2,1211.8719605331453,14121.8223615351,58125550672
2022,1,590.8064710784337,15304.6255962647,38263909622
2021,4,575.5226432506821,14713.8191251863,40931962180
2021,3,495.80598045704977,14136.9937834942,43333363439
2021,2,926.7467800799052,13641.1878029895,49789391760
2021,1,435.90955123595825,15128.678861566,31782513438
2020,4,628.4810273382254,14692.76931033,37805018216
2020,3,410.5611155291216,14057.4702376202,44768734757
2020,2,1119.1976369887475,13646.9091220434,71680824417
2020,1,513.1890917575798,13981.093362016,34707560330
2019,4,442.4092942823537,14167.9042702584,41568234615
2019,3,415.21601345720694,13727.4488621851,36667197582
2019,2,1138.7539235901124,13312.2328487279,55694390986
2019,1,343.62994933309204,14346.364940595,37344026875
2018,4,323.44917004366687,14002.7349912619,49105368092
2018,3,451.30506778603706,13675.3656853128,38222608723
2018,2,1074.6527413940066,13224.0606175268,59146171746
2018,1,322.4433718731994,14024.3441399721,34252287024
2017,4,360.7955994552355,13701.9007680989,41498160914
2017,3,338.487093319492,13020.0723269635,30812174201
2017,2,845.9919570093191,12681.1121125339,58886831673
2017,1,324.8725302025248,12980.9851199291,35506504071
2016,4,-102.3469305091929,12656.1125897266,37234650156
2016,3,455.1380346573079,12791.8937773989,41123192821
2016,2,615.8710336715889,12336.7557427893,46152878899
2016,1,287.71322163438873,12997.1608718613,35579294409
2015,4,476.2806151457864,12709.4476502269,43244608513
2015,3,408.57459206393605,14127.0415164304,38354335642
2015,2,443.4411677590962,13549.6548467469,49198071299
2015,1,351.1051296104284,12992.7607224912,32875847435
2014,4,525.1470779745239,12641.6555928808,36477383853
2014,3,265.3560944611359,12138.9787569178,38835301396
2014,2,424.8999281932807,11866.5074529055,41625395405
2014,1,187.34029884955248,12487.0659919151,24095824520
2013,4,187.42031590823166,12299.7256930655,26359337753
2013,3,366.32614723917465,12033.8760007757,33199428957
2013,2,465.4041708297253,11653.955891301,40310679589
2013,1,332.0493850362157,12237.1101605474,25251335536
2008,2,0.0,0.0,10139247300
