year,quarter,EPS,BVPS,Revenue
2025,3,2856.8784729956274,18227.3833956602,728956023913
2025,2,931.6816196481483,15370.5049226646,846197860869
2025,1,591.8433907206471,17373.0283285211,838689324064
2024,4,1324.4414823979935,16781.1849378004,943566043024
2024,3,444.9172008843999,15456.7434554024,565184154463
2024,2,843.0324569168237,15011.826254518,759348473411
2024,1,839.6147721684179,17432.6786206553,730967959959
2023,4,826.2426151768475,16593.0638484869,710949337556
2023,3,891.2326035692264,15205.5613068385,787222486040
2023,2,943.4554935021363,16424.6605403326,860435683593
2023,1,822.0741158076315,15481.2050468304,719685907836
2022,4,458.709163953428,14659.1309310228,1051851525954
2022,3,381.5506842185261,12852.9615509208,779682787523
2022,2,430.4858680823235,14389.0811220483,1038710800827
2022,1,475.3806514755206,13958.5952539659,881112526565
2021,4,1697.655746193449,13483.2146024904,814943178880
2021,3,394.793442498719,12012.9260762821,900784191932
2021,2,455.81948026454563,11618.1326337834,838198747145
2021,1,418.6274872370663,12836.5518892061,680533429162
2020,4,764.5931299613275,12420.396188635,725729193578
2020,3,38.21575164530484,11655.8030586737,586782265821
2020,2,446.5613828953297,12410.7637718674,660986839784
2020,1,427.3402578512173,11964.202388972,770823921381
2019,4,978.9585526755072,11536.8621311208,860316000935
2019,3,408.6458674590744,11755.4609961543,700131107102
2019,2,183.14001460307276,13440.5905137316,803066602964
2019,1,419.98944781034373,13257.4504991285,783747882909
2018,4,903.9452170726659,12837.4610513182,871813008114
2018,3,645.5357939947667,11983.1545863166,832846265217
2018,2,667.8386449384087,11668.4990273733,804601097612
2018,1,256.97471615311764,12746.1874506275,747691659247
2017,4,1446.9860231666885,12489.2127344744,583697328719
2017,3,-196.17338656289883,11177.9804238401,701456339788
2017,2,691.5860618285932,11374.1183985221,792617166947
2017,1,200.22843744013178,12024.9221740503,645430876976
2016,4,1479.9633418176265,11824.6937366101,603513649772
2016,3,-275.1865698946524,10627.0281463466,539466418022
2016,2,552.4886734508748,10902.2147162413,572785242177
2016,1,185.58921667306245,10349.7260427904,702417657972
2015,4,790.6912018276937,10164.1368261173,510713429681
2015,3,160.66752284725374,10785.7613550065,690300924360
2015,2,477.89390041762016,11651.9576131312,566787723013
2015,1,152.34227103950047,11128.5824703217,576027189046
2014,4,370.6320532834142,10961.731414065,445968078391
2014,3,244.11816890533095,11574.1053248123,526350761738
2014,2,238.35006238090415,11329.9871559069,609410663224
2014,1,362.48720466456535,11091.637093526,540820488390
2013,4,644.2963208215449,10729.1498888615,500679123880
2013,3,21.010047261943047,7086.6571705118,441127869207
2013,2,154.38286993333332,13714.8086502017,453935311403
2013,1,581.7336351983472,13327.4205606961,443057540397
