year,quarter,EPS,BVPS,Revenue
2025,3,63.18802842423834,12106.8642549947,23912357271
2025,2,20.72338093112466,12043.6762265704,3950454865
2025,1,32.427442848550385,12053.2001398146,9383933934
2024,4,91.89782788023061,13520.7961023433,11288580077
2024,3,9.839421035994317,13462.5343919254,10805746596
2024,2,10.22232905,21266.12182125,3985888481
2024,1,20.0272627,21255.8994922,2878350810
2023,4,67.6327878,21241.9322295,4829797556
2023,3,36.5506235,21174.3444417,2942912044
2023,2,24.3740349,21146.4938182,3063281042
2023,1,36.497295,21166.9197833,2700497828
2022,4,165.47525045,21132.2224883,20170919883
2022,3,29.53592665,22371.84713635,3700750964
2022,2,25.013642,22342.3112097,4354283171
2022,1,21.22267365,22321.10713065,7223616453
2021,4,236.44867325,22301.32489405,23393251767
2021,3,39.97645755,19528.1160943,10401560654
2021,2,137.3983506,22302.08963675,13329951480
2021,1,368.8781803,22188.71196325,33800029385
2020,4,2198.87627865,21825.34178295,46098613362
2020,3,792.00415205,24393.7655043,48228722287
2020,2,266.60452245,23606.53135225,40001065819
2020,1,455.62930375,23348.5353508,47699888711
2019,4,965.58532785,22890.36952605,172372918183
2019,3,2143.59468075,20045.34141915,140685344670
2019,2,395.00223195,20902.0167384,59344992620
2019,1,297.6664879,20698.23450645,47731543857
2018,4,2259.0095036,20400.5680184,248004951400
2018,3,228.66607425,17982.03497505,45237145919
2018,2,860.84959945,17753.3689008,114547632885
2018,1,276.5460945,16893.70280135,30953027704
2017,4,2570.81548365,24863.8352069,362586225067
2017,3,4.2651872,21918.84512025,1097070647
2017,2,138.8848452,21917.45993305,13930789789
2017,1,176.2599352,23446.16858785,5230541622
2016,4,272.7934984,23271.64115265,12785413508
2016,3,942.5700376,23002.24315425,39516695083
2016,2,568.0678391,22062.62186665,44597880987
2016,1,445.1619104,23120.10277755,28273089798
2015,4,889.3168205,22677.60911715,87742263278
2015,3,354.4831299,21815.81687165,68765018591
2015,2,530.67054675,21463.93716675,79649253530
2015,1,788.89574505,22710.51537,105393656468
2014,4,2509.85066205,21923.42162495,243083858710
2014,3,215.27404985,19246.381862,22431372671
2014,2,685.3836192,19033.637062,103197663553
2014,1,794.9560871,20013.0413826,105511504127
2013,4,1510.8309796,19218.2937955,113911876681
2013,3,715.9602938,17710.87369095,68249286891
2013,2,820.67504565,33996.6485443,158936113612
2013,1,1766.9120521,35041.414953,111147816585
