year,quarter,EPS,BVPS,Revenue
2021,1,-1881.0301258619568,0.0,7407960619
2020,4,-5611.076337252039,0.0,10419739636
2020,3,-5805.6395267550415,5066.5631885029,6619269245
2020,2,-2771.1225266400306,10872.2027152579,7739204364
2020,1,25.049009655917313,13643.325241898,11558136199
2019,4,1805.8430170866231,13618.2762322421,16691060532
2019,3,-917.9989018956801,11812.4332151554,10215058217
2019,2,-784.1651946934959,12730.4321170511,10280819836
2019,1,32.12835819402843,13514.5973117446,13926751390
2018,4,-1937.443085093084,13482.4689535506,11033823348
2018,3,-2096.1087043269113,16119.91231567,9184219416
2018,2,-2470.2124961871377,18216.0210199969,11270719992
2018,1,-504.1201704161895,20977.237324,11563268355
2017,4,89.44325110885534,21481.309603,15823062720
2017,3,67.23712552692506,23417.184849,10910335400
2017,2,222.74726098979403,23349.954111,14292802081
2017,1,594.4436141433437,22908.228011,15753262916
2016,4,-10.100751571399282,22558.340869,11568979010
2016,3,1015.5217435656388,22593.940661,11749740552
2016,2,1522.673812012141,21580.5655457268,14033145774
2016,1,706.976068726529,20081.486234,14111882840
2015,4,855.6756071826824,19374.577328,17789077486
2015,3,9.495531075452169,18544.48301,12172940730
2015,2,7.483809961946385,18534.988381,15427925557
2015,1,1.7929203274311059,18553.005282,12369704222
2014,4,-155.54981023197203,18551.212532,12511980108
2014,3,458.989994,18708.247565,12748380132
2014,2,671.71345,18274.757571,13728571947
2014,1,14.633551,17603.044121,15780658280
2013,4,1473.490686,17588.41057,14521269147
2013,3,-530.613945,16219.597101,12159302686
2013,2,-128.725808,16750.211046,14602625740
2013,1,-793.042023,15379.079354,16316962030
2008,2,0.0,0.0,15762142226
