year,quarter,EPS,BVPS,Revenue
2025,3,638.4890588791733,17196.8679067511,30417536448
2025,2,144.30405534245966,16789.0758037574,30394159818
2025,1,847.4927826057378,17344.4732014697,27728566434
2024,4,136.80159868962775,16949.2217128164,29564439462
2024,3,865.6194798938669,16892.649489747,28325674250
2024,2,183.32267332687456,15946.8006342329,27347103831
2024,1,216.54198290161614,15808.4943478755,22644034905
2023,4,-54.75854286781074,15591.9523649739,20151942147
2023,3,438.7604993350144,15722.7980908099,20392502609
2023,2,-128.0093638936375,15264.6336268423,19974508685
2023,1,100.79998999038501,15409.6371017977,18849823081
2022,4,163.4371843342209,15312.8040086251,21666324904
2022,3,160.0759269771344,15447.2077253524,17443815410
2022,2,-38.307061596570954,15389.6574601559,20853855673
2022,1,229.3615039392038,18623.6777794409,21926366669
2021,4,411.46517241639657,18394.3162755017,24565193701
2021,3,222.9474234464879,18926.6614225936,21156692247
2021,2,431.9105942901451,18722.4648271392,24357457865
2021,1,196.63343972635613,18498.8327402675,20763393786
2020,4,620.2557168639519,18301.5518224466,24662316507
2020,3,412.1055201002954,18702.7192056257,25941391765
2020,2,164.8289184003888,18311.8688267198,22817935767
2020,1,142.7683167976206,18284.7039069489,26980826260
2019,4,214.34843578750258,18144.7113108727,32466835776
2019,3,257.9805006317499,18930.4518326975,30910596687
2019,2,240.8710428454331,18718.0081241335,32328654895
2019,1,203.71548080105995,18506.0004345217,28497996750
2018,4,208.3445338544598,19118.6799180413,32510957680
2018,3,147.7234684389222,19917.9125178265,31203917347
2018,2,375.94209876679975,20066.2825492486,31250015425
2018,1,145.25716358682035,19444.6071175673,29266620222
2017,4,400.83742129738323,20299.3499539048,31347589903
2017,3,539.9885919132245,19906.8548975606,28005061094
2017,2,533.2096310661783,19373.5880048458,28296774945
2017,1,198.79676794738606,20102.3589234027,25549361002
2016,4,708.9651970208442,19998.5653418559,31553906108
2016,3,658.4558339198932,20480.0183890768,26634763838
2016,2,518.1332337412699,19813.7765376371,23565394103
2016,1,433.46301218491396,19670.64434012,25856817266
2015,4,670.3879992699915,19271.7149380595,34615787105
2015,3,804.0961297505949,23109.5277279,32225692766
2015,2,572.8346092493664,21985.1892603,36629245514
2015,1,675.6575827895754,22353.7272265,32390241362
2014,4,823.8712234723649,21696.5125593,31545753126
2014,3,781.5638465958634,21535.3898079148,37688539477
2014,2,1419.7913215048998,21065.2613740886,18916089064
2014,1,1156.6984489386787,23210.8531111162,23532220082
2013,4,1008.6949384881669,22055.0744576477,23365001553
2013,3,1023.6344442554889,21106.559618383,23572658340
2013,2,1072.4406074778963,19692.2646819703,31987593484
2013,1,902.1123857205228,19192.8372840125,27006967811
