year,quarter,EPS,BVPS,Revenue
2023,2,0.0,10000.0,0
2023,1,0.0,10018.8583173684,0
2022,4,-1198.3146392105264,11837.2452763158,0
2022,3,4412.983122894737,6235.6320894737,46091288931
2022,2,2634.680390526316,5987.8964021053,44534655492
2022,1,-247.73568736842105,5987.8964021053,0
2021,4,159.38252578947368,6235.6320894737,1380000000
2021,3,129.76121052631578,6169.8781628947,1380000000
2021,2,41.798405,6253.0564665789,1380000000
2021,1,0.0,0.0,120000000
2020,4,569.383977631579,6169.8781628947,0
2020,3,0.0,0.0,0
2020,2,0.0,0.0,0
2020,1,-258.6629902631579,6282.4714821053,0
2019,4,-367.56270210526316,6541.1344723684,35327273
2019,3,-257.69615236842105,7280.1996318421,44145454
2019,2,-545.6361644736842,7537.8957842105,93121546
2019,1,-163.9495644736842,8083.5319486842,652468373
2018,4,-448.91598394736843,8247.4815131579,1198468008
2018,3,2484.0463347368423,9135.9399173684,952240342
2018,2,-592.2556644736842,6651.8935826316,165558500
2018,1,0.0,0.0,97936428
2017,4,-139.1304552631579,7595.7918363158,169050345
2017,3,0.0,0.0,10902290
2017,2,0.0,0.0,0
2017,1,0.0,0.0,193442550
2016,4,-233.2434552631579,9004.8799176316,0
2016,3,-222.09367763157894,10358.3734807895,1096090226
2016,2,61.282065789473684,10580.4671584211,3532720986
2016,1,0.0,0.0,645409596
2015,4,137.1545,10558.5039928947,2702839000
2015,3,68.6704605263158,0.0,1790250000
