year,quarter,EPS,BVPS,Revenue
2025,3,750.2098367753744,14251.0961250794,370301745461
2025,2,459.7547886895754,13534.1428943304,346233688157
2025,1,233.8887061506646,14336.5793467026,324827564546
2024,4,401.5097452610228,14113.2489522139,331050545535
2024,3,527.9634101204011,13711.7392069664,351892869563
2024,2,261.4190910176326,13212.361076875,334716479618
2024,1,218.7076254458141,14129.4982813602,271113091007
2023,4,384.46655151121985,13910.7906559144,291767953186
2023,3,485.0065030036274,13543.9921172871,298927587037
2023,2,259.9148260391818,13085.367325482,283741046087
2023,1,186.0160220189648,13984.4877168092,256690620538
2022,4,360.9049365733178,13807.2702878464,274188170865
2022,3,375.8556996286331,13440.5815790545,288325074910
2022,2,234.0460539674591,12968.9408279199,269045568277
2022,1,185.31358294790218,13866.9542788047,241477990712
2021,4,367.7700651583262,13681.6406958567,255483791765
2021,3,503.17711441813935,13342.7810313698,274667115841
2021,2,214.9883051908622,12872.5337259696,257712081097
2021,1,195.44935464257117,13745.2688858616,235506241818
2020,4,374.2076379648588,13566.7523584856,245571333314
2020,3,442.34283195075824,13193.8776135359,271038634131
2020,2,217.4656947719445,12781.3167187463,242979657160
2020,1,181.06934337947368,13527.2520625834,236368186691
2019,4,344.11915611936024,13346.1827192174,244128705391
2019,3,427.87282981888217,12603.2759023482,258845968421
2019,2,236.20697320223687,12193.772483005,241724623740
2019,1,169.47092722055376,12798.8546707222,217364837107
2018,4,294.57587744488586,12627.8498390178,243415192308
2018,3,414.600693210096,11991.9543904788,238051223477
2018,2,269.5040636765241,11565.2237904433,231280546097
2018,1,176.9405555733736,12188.450477772,203402116001
2017,4,297.923894638426,12025.3571150084,218495023290
2017,3,0.0,0.0,244554026291
2017,2,0.0,0.0,226029112712
2017,1,0.0,0.0,190385587361
2015,1,0.0,0.0,141244767418
