year,quarter,EPS,BVPS,Revenue
2025,3,136.3924526310459,18227.7610953471,8496510589448
2025,2,440.8747112874676,18099.4935067901,9755435690591
2025,1,334.1698910668967,18188.8151698215,8661488408243
2024,4,266.5568290835158,17881.5477247678,10407256195735
2024,3,-292.0173615718898,17634.6390264284,10223342839464
2024,2,440.27539656850354,17942.7779261696,10986177055158
2024,1,518.224201883694,18091.3762054472,9423664153117
2023,4,167.78444689391233,17621.3982180599,9249620869660
2023,3,714.4079871456179,17474.637158612,8235149420595
2023,2,22.967452773063325,16804.0495492412,8825360498716
2023,1,415.65946708381847,16845.9165302148,7081785888227
2022,4,-1137.4219505094136,16979.0577316899,7942001885518
2022,3,-1482.6169424712396,18171.0029983999,8152489405311
2022,2,443.105819811692,19710.7984566121,12233956658179
2022,1,470.9219266934581,23150.0755309631,12697836917471
2021,4,1293.5161467544494,22844.10145558,17005852337540
2021,3,1906.9790959342508,21916.5089739543,15922446541201
2021,2,3448.606746305036,20027.686533613,13035928326400
2021,1,2246.2494366485403,16480.1304302521,10861759782895
2020,4,1286.5276823584002,15918.9072900596,9167199061789
2020,3,1017.2989221631018,14815.1708231338,8434594254178
2020,2,716.5849634207202,13828.9749855341,6954874484755
2020,1,452.4526708403247,13126.1482016849,5786705656797
2019,4,407.5415558662893,12681.2409390121,6597688642656
2019,3,217.23172608178984,12902.698857381,6357624550476
2019,2,380.55129912666564,12707.8026636743,7243649790324
2019,1,131.59209135786116,12329.6663911554,6922420157079
2018,4,143.29459374554824,12222.6066492971,7557609285209
2018,3,-267.0685535388184,13292.923534135,8561115870835
2018,2,215.28328246946413,13568.7942875719,10350829310371
2018,1,248.7522368927032,15703.6992348725,7728558333054
2017,4,952.7097693349707,15608.4375528468,7929841042904
2017,3,583.8436028969195,14664.7684374512,6992419127633
2017,2,775.9499426170275,14110.661304953,7280384147244
2017,1,1187.8160293136264,23647.5741186231,6271069273510
2016,4,2200.05615004,23205.9705387298,5793111634736
2016,3,2292.731871355195,20981.040463376,5038180967200
2016,2,2278.569086319903,18769.0723266428,4610628550258
2016,1,2127.8005989055787,27271.1204898832,4410723387697
2015,4,1428.79633115805,24528.3676753827,3918905559644
2015,3,1283.295616027183,28878.853569091,3937927781526
2015,2,2394.5461738716403,26621.599160588,4835353684887
2015,1,1228.2931323421867,25269.6244205646,4276935433871
2014,4,1298.6724169229817,24822.9701806584,4419677630441
2014,3,1337.312791225966,24701.7683689398,4032808077023
2014,2,1151.768412869452,24378.5355757116,4327838123925
2014,1,705.2723532369398,23283.0893673984,3343583913379
2013,4,1066.1538373524234,23996.0629063764,3300844461977
2013,3,435.10245157932724,22944.7997164622,3205150071507
2013,2,1924.7549433307606,22242.1536441177,3265556938883
2013,1,2353.842240647315,22343.3214675071,2602154739198
