year,quarter,EPS,BVPS,Revenue
2015,4,6.8655243642514,0.0,55429569684
2015,3,294.8616531739633,0.0,70075908420
2015,2,-416.68542029357883,0.0,148492900835
2015,1,-2051.0583154874926,0.0,148981713000
2014,4,-1548.6020529882385,905.4452899,48432598461
2014,3,-565.3092032948969,2454.9475756125,63676006444
2014,2,-676.512050570578,3020.2567789074,122327491873
2014,1,-1820.269482853325,3696.768829478,63328181587
2013,4,-4216.020587440911,5517.0383123313,101061707153
2013,3,-961.9841966943804,10069.8657554076,113026803599
2013,2,-947.8946899476915,10904.637656,228749692135
2013,1,-1212.6372016237776,11842.6844036,77519974050
