year,quarter,EPS,BVPS,Revenue
2025,3,5.5582472153981595,11389.0128830172,10325756802
2025,2,-51.820980475123484,11462.240276163,27276268491
2025,1,74.7178110414238,11524.6401494704,8664274492
2024,4,19.168191872490738,11449.922338429,11210530488
2024,3,32.10569644079633,11430.7798895662,18442801547
2024,2,73.66571538738596,11398.6484501157,69125634861
2024,1,54.81336319168806,12355.5505038958,40466598724
2023,4,156.35432317790537,12300.7371407041,147846187265
2023,3,45.34732288273961,12145.7720618317,37485801736
2023,2,60.09737044727165,12101.0479700882,96575966617
2023,1,73.00598425684643,12052.1968114354,107845348097
2022,4,130.424946135923,11980.0573761935,125728428955
2022,3,75.28059761626801,11829.0312088615,121256070485
2022,2,145.74634518996817,11740.5470575444,158839907812
2022,1,73.95088149572744,12796.0173778561,59761009098
2021,4,250.26650765140977,8065.6367321264,118782737640
2021,3,76.66903557167109,14606.0873191254,52026634260
2021,2,56.54657699615032,14536.3855407166,64057285740
2021,1,297.98281053621963,14474.8142037487,61004720960
2020,4,428.996257036115,14209.8287027242,93232623921
2020,3,17.862056262823916,13769.7462159693,50223510760
2020,2,104.41413061725379,14982.2053136529,51667966550
2020,1,138.0205041207734,15049.061089504,47869219320
2019,4,1224.473256623701,14911.0405853832,142063275740
2019,3,810.4165917034943,13683.3364421463,128514208115
2019,2,372.1194080796162,12873.7273798733,103782727931
2019,1,581.8619047570672,12501.1596197475,90165731395
2018,4,816.751873402059,12142.7773627431,136253200098
2018,3,0.0,0.0,76513244875
2018,2,0.0,0.0,45310570400
2018,1,0.0,0.0,55078106200
2017,4,98.50507626814958,10662.8096901985,48646267960
