year,quarter,EPS,BVPS,Revenue
2025,3,2181.5344369373547,30698.6895892942,1518198194446
2025,2,3583.473465884844,28522.907860181,1309514166280
2025,1,1561.1458769157032,26097.4376025826,1277550030591
2024,4,2565.6426566301625,24545.1123496877,1339202790436
2024,3,2038.6463633791102,24979.4696930575,1498560995742
2024,2,1944.5025630849768,22940.8233296784,1094011352602
2024,1,1253.8976307282219,23398.061839015,1179378172569
2023,4,1343.6190583497219,22159.548845548,1155888938275
2023,3,1633.4384309091415,23354.651156963,1270004963098
2023,2,931.1936449613735,21718.6801920567,1040156868232
2023,1,868.6350428973287,24535.0966267315,1237915949074
2022,4,2485.7797845054215,28061.1424920279,1202581116199
2022,3,2384.1475748402454,26113.0516382071,1388616693590
2022,2,2019.6182735269635,23728.9040633668,1242672048329
2022,1,2425.5340880559743,22857.9953848731,1345124871291
2021,4,4189.781266412699,25948.6420623492,1188879433683
2021,3,2033.2866562962963,21756.6796713228,1125248182987
2021,2,859.234920931217,19723.3930150265,827298035228
2021,1,925.4848594222223,20938.1314106667,722439589898
2020,4,851.3849044888889,20012.6465512444,791130406690
2020,3,624.742264,19165.5176520444,884522803425
2020,2,111.62889062222222,18540.7753880444,603153229389
2020,1,1115.8926465777777,21349.5624892444,978407212726
2019,4,1589.055038888889,20233.6698426667,1031149124818
2019,3,1347.7698737333333,18640.7747161778,1125247369873
2019,2,1233.108242311111,17483.8283124,1018160173330
2019,1,1188.2537803555556,19799.7063431556,1080732957366
2018,4,933.7187187555555,18611.4525628,979736406518
2018,3,1196.6707500888888,17611.8625909778,1219815408346
2018,2,1055.3987481333334,16415.1918408889,1057945385483
2018,1,1033.3143294222223,18499.8523166667,1087871565617
2017,4,1538.8039226222222,17526.9675828,940228096826
2017,3,1339.0307138666667,15988.3460895111,1138283303781
2017,2,405.4599177777778,14649.3153756444,939610689123
2017,1,266.7154415111111,16781.1736997778,859045058667
2016,4,962.9837714222223,18863.2085146485,895472127967
2016,3,0.0,0.0,861731836168
2016,2,0.0,0.0,772264307581
2016,1,0.0,0.0,669115787230
2015,2,0.0,0.0,760489040437
2015,1,0.0,0.0,608377434578
2014,1,0.0,0.0,494050453905
2013,3,0.0,0.0,655960555541
