year,quarter,EPS,BVPS,Revenue
2025,3,-45.27318133957936,9901.10998046,105781149297
2025,2,-36.82825598089823,9946.3831617995,108934888612
2025,1,13.371078052869949,9983.8016074161,125848164414
2024,4,-23.06322339294758,9970.4305293633,381898983380
2024,3,-57.2732722066789,9950.0406922803,99474205597
2024,2,-28.229300936630803,10022.0716346485,98656786536
2024,1,3.5311157826972894,10065.1128673214,145822615221
2023,4,-9.204081622632623,10061.5817515387,144224442115
2023,3,-22.399241184477443,10089.2501772424,98609867173
2023,2,-39.40234981037341,10099.6716822711,107712871787
2023,1,-62.06707809560526,10139.3658581206,94409399491
2022,4,-83.93201294243553,10201.4329362162,94510409563
2022,3,25.503945392451126,10228.5689219335,86974688928
2022,2,-11.446235577967855,10203.064976541,101632677997
2022,1,-31.7643055374966,10225.8170414478,107003818879
2021,4,-2.3782520938031064,10257.5813469853,142338694556
2021,3,-5.253268024073621,10245.8979727185,126619033127
2021,2,-9.239885760320352,10251.1512407426,183164800984
2021,1,3.3643683765945047,10280.8572942863,166243406172
2020,4,11.838086612662565,10293.8944009054,211003490357
2020,3,-10.708876488575578,10282.0563142928,201223993366
2020,2,-9.230958453090718,10295.0538588171,242669614761
2020,1,29.42556904344727,10515.876781708,329535849821
2019,4,423.2127670909091,10484.4778532,364410579053
2019,3,40.69015001363636,9990.2218704182,485694221420
2019,2,40.55462997272727,9949.9266481773,662876056135
2019,1,0.0,0.0,758086197390
2018,4,29.403841518181817,10017.48264085,776118095307
2018,3,0.0,0.0,1018397593654
2015,2,0.0,0.0,1272167900976
