year,quarter,EPS,BVPS,Revenue
2025,3,882.7115556970342,15596.1384690244,219315035893
2025,2,1269.7518406301058,14998.2332496677,227464734793
2025,1,856.7750994560151,15071.3740239098,187705701596
2024,4,1116.609074166888,14214.5989244538,168217241651
2024,3,929.8934793417321,13980.4727862788,199606508478
2024,2,660.833448402879,13640.4202275399,144761282894
2024,1,556.9128153818265,14414.3664437729,166778609157
2023,4,1134.0538668979436,13857.4536284423,138390629449
2023,3,1103.4331150386065,14186.4017952284,175701406040
2023,2,1031.3813018130077,15259.0267734911,210302619864
2023,1,656.8209299194434,20207.8762734934,191888708477
2022,4,1434.6204132878495,19790.1677038472,204129769461
2022,3,1491.356717504838,17652.2428413989,251755975632
2022,2,1988.0352532407528,18653.4246622867,277138821375
2022,1,1429.7498037635937,22002.5149577253,203927451449
2021,4,1765.0468573115475,21753.5174853818,231598114001
2021,3,1733.7438644257513,19624.1057635354,232917330401
2021,2,716.0693330914269,17857.5883074898,170716565643
2021,1,775.174393908876,20142.3562604534,174804605662
2020,4,1604.784481225851,13720.3729824459,162182471973
2020,3,1594.6735826712936,18601.5606391867,223870450528
2020,2,629.6931630762513,16743.5311571383,124112123639
2020,1,905.5116166051661,28935.9205793358,161299724028
2019,4,2346.918007380074,28393.6599302583,165279069496
2019,3,1853.749410110701,26188.1382045756,182909170048
2019,2,2040.715882287823,24348.8570146125,209031279065
2019,1,1784.352597195572,27942.1810857565,171628869106
2018,4,2960.159951881919,27079.5039664207,165181719794
2018,3,0.0,0.0,190316494218
2018,2,1781.7061510455105,20521.9785665437,190520948008
2018,1,0.0,0.0,149585930529
