year,quarter,EPS,BVPS,Revenue
2019,4,-1118.7354735329645,2414.9215910809,732645672204
2019,3,-3703.217796054499,3534.6368603171,843413434233
2019,2,-580.2979999562327,7391.6785757012,529925669050
2019,1,-585.4546225182395,8525.8142531506,1532562330846
2018,4,79.77239020003017,8304.5251967519,1352339896700
2018,3,1630.5659166823618,8412.9796888502,1675019190325
2018,2,134.15050469380526,7410.3963985608,1512376184684
2018,1,-1812.6608160211429,7019.7786655027,2296464654220
2017,4,114.26565703030023,8107.0713717417,2746256168164
2017,3,-2589.561819690821,8224.505689022,3284249365486
2017,2,156.57695461185116,10777.6301096782,3616959584543
2017,1,-821.7379467895472,10607.5524605844,2997704649508
2016,4,43.74416745533319,11470.5907739244,5810393468282
2016,3,-1427.957035189935,11430.4811738852,302872610297
2016,2,1019.7887329352576,12710.5041584669,6654229092239
2016,1,8.265426313338,11936.2339372921,5446956070213
2015,4,175.64376262416457,14499.6827330077,5622049418208
2015,3,196.35790662015992,14288.9110602462,5316442891195
2015,2,200.61137879176022,14140.4566598206,3975982942864
2015,1,195.50486015986567,13774.0520728636,3152491875776
2014,4,49.131122170135356,17888.995109993,4179148983764
2014,3,1052.3509529852545,15116.6353152877,3879131817543
2014,2,280.99355914224424,17733.597638989,3226986389870
2014,1,893.3393112947931,19373.1115837398,3758513297862
2013,4,-424.15462896735335,19489.0159668093,3409952371662
2013,3,206.66339163036452,19169.411730799,2631674953124
2013,2,924.2237591880527,29039.9670028041,2649165834665
2013,1,1331.4507846436743,28084.0627757112,2510641821254
