year,quarter,EPS,BVPS,Revenue
2025,3,1876.4062532821126,22955.8284171675,98490110841
2025,2,390.55969454159816,21527.3664449091,27782116972
2025,1,758.8998632458594,21135.4757018232,24580397862
2024,4,573.9698163365192,20376.512766456,26795680928
2024,3,1083.1912493270402,24276.051778294,26230277956
2024,2,840.9870488311171,23455.9042453808,27538074749
2024,1,918.0424468642411,22616.8418585778,39018492566
2023,4,883.9459906518377,22573.8963342883,38152704683
2023,3,2268.1057511905947,25437.740269206,24530843272
2023,2,907.3081163834654,23524.7582193196,45285680458
2023,1,1010.7170295345637,22993.1684790903,50005345372
2022,4,930.4066485569649,21982.024880525,64523102799
2022,3,1529.1596755196408,25765.6619997712,37130547369
2022,2,1065.7376845704118,24592.7231970422,20864656036
2022,1,875.6918841777831,23521.6223669931,21584840809
2021,4,2102.526018449569,22641.7692466826,32308938531
2021,3,4024.8758164811197,26185.753336108,46972154200
2021,2,2283.1102210513313,23790.5628172104,21243724358
2021,1,1300.049073172632,25382.0862373752,22719257286
2020,4,1410.743313696248,25233.8889758682,25613214388
2020,3,3333.6355792510853,24818.5786273518,35015976279
2020,2,3486.64628834623,22159.2923528634,34868181282
2020,1,1158.4343737853997,19944.079831212,41459279078
2019,4,3566.970879586282,18785.6454571913,109096227774
2019,3,1178.1519763080225,16165.067418616,28519796294
2019,2,1567.7592034411293,15391.8093095501,33305101081
2019,1,1754.6969832048526,15574.2556473876,34969670129
2018,4,1388.3817303359526,13942.9558641194,27729207180
2018,3,1215.949151675842,13300.8067020988,17923511388
2018,2,727.9563589113321,14513.8783388185,13185320460
2018,1,1855.2720029236414,13301.6485069237,30097743200
2017,4,639.8300005202918,12598.0187898024,13191047353
2017,3,977.3957486890229,11960.0906844679,23506107013
2017,2,1506.8569486579913,16060.738884371,29764636293
2017,1,578.828267110667,14875.3457177876,10870805650
2016,4,2959.857371027977,14298.8654007164,45835537351
2016,3,3291.1981484787007,13504.6880599383,63816400920
2016,2,505.5785083786583,17748.5860209974,8182102062
2016,1,2040.6365162707868,16994.8176392393,32873880102
2015,4,811.0787687916892,14225.0993304193,10371866287
2015,3,1769.5657728261995,15258.6306358105,18663143722
2015,2,1581.6415945159874,14121.4924328186,16355269848
2015,1,760.1453834672654,18809.8740598705,9015174224
2014,4,3178.466876433238,17588.4664092929,19672716759
2014,3,3062.950017050401,16696.3779706484,22442734330
2014,2,2057.974750912111,14721.146934167,14019582440
2014,1,1541.1116055123337,14498.3181289248,15859104509
2013,4,2728.038688853134,12459.4319179999,13772938243
2013,3,2536.4079004102514,14328.3472676504,15882353289
2013,2,668.6249046083847,11564.5629176676,4951965869
2013,1,-213.84102833913292,10829.2848638013,7902671891
