year,quarter,EPS,BVPS,Revenue
2025,3,65.64739288888889,8533.4910398889,117763708524
2025,2,70.98768530555556,8349.2850579722,42629117213
2025,1,-11.194039583333334,8405.1709082778,30857231765
2024,4,216.39630475,8319.4559886389,66405272807
2024,3,140.17260005555556,8168.8681740556,43944688679
2024,2,49.663159666666665,7877.2457245833,36824407894
2024,1,-12.753890805555555,7929.52891775,37256420108
2023,4,397.5747391944444,7941.9719613056,35494360118
2023,3,60.87935105555555,7594.3587838056,49748569407
2023,2,-246.20502786111112,7534.2549594167,42352978557
2023,1,-14.739547777777778,7836.1639899167,39054792423
2022,4,-299.3350448055556,7827.0353600278,54723036469
2022,3,-26.239547916666666,8168.5696541667,55932800488
2022,2,-176.95360141666666,8202.2354777222,96731034646
2022,1,-19.289188194444446,8457.9752326389,40523649179
2021,4,174.09862027777777,8401.7316168889,133783666577
2021,3,-26.607374666666665,8937.5235150833,34998845392
2021,2,-177.83250480555554,8901.3741550556,56519317832
2021,1,121.94293752777777,9158.3311254444,55941423409
2020,4,248.83253686111112,8979.1924389167,70728545405
2020,3,-37.393011888888886,9053.6719424444,40540348135
2020,2,-20.26664288888889,9074.6175806111,137990211320
2020,1,1.1555442777777778,9187.3564803333,41649030881
2019,4,305.16116325,9074.6967543611,43426888900
2019,3,-47.09172461111111,9109.2623745,30076754020
2019,2,-143.1052268611111,9141.0721448611,46710298572
2019,1,0.0,0.0,34555405766
2018,4,192.28640658333333,9370.0319328889,70220743260
2018,3,0.0,0.0,55699986780
