year,quarter,EPS,BVPS,Revenue
2025,3,797.8705264444444,12460.4375348444,74873422325
2025,2,394.6584689333333,12662.5670084,47541178545
2025,1,81.74796882222222,13315.0196505778,23970146155
2024,4,516.2046014666666,13233.2716817556,60187664385
2024,3,740.0890909333333,12717.0670802889,70973353837
2024,2,345.03777097777777,12976.9779893556,42141624608
2024,1,91.8573786,13687.4735517111,25036354680
2023,4,480.4402578,13595.6161731111,66725148272
2023,3,771.6070181111111,13115.1759153111,74493239322
2023,2,540.1208036666667,13543.3219194222,56290795870
2023,1,276.0027329777778,13075.6233379778,36407810032
2022,4,616.8868321111111,12799.620605,76142453139
2022,3,1041.3685622222222,12982.7337728889,91297412943
2022,2,576.3279563777778,13941.3652106667,58241261972
2022,1,274.9286022,13407.4594765111,41542184470
2021,4,794.1640766444444,13132.5308743111,82571713642
2021,3,875.7174154666667,13538.3667976667,80333193831
2021,2,466.08644942222224,12662.6493822,51721484868
2021,1,-14.51410748888889,12219.6740438889,23577816114
2020,4,356.5463321777778,12234.1881513778,50554446483
2020,3,442.0620018888889,11877.7800908,54140171184
2020,2,229.60420546666666,11435.7180889111,39922301784
2020,1,128.06870284444443,12103.8916612222,34935063128
2019,4,620.6028079333333,12975.8229583778,72497702860
2019,3,951.4710818888889,12355.2201504444,89404794447
2019,2,289.3850833111111,11403.7490685556,44448578337
2019,1,126.88626382222222,12102.8936074667,31878066570
2018,4,292.7739024888889,11976.0073436444,67238190746
2018,3,898.6247102222222,12283.2334411556,92427383132
2018,2,738.0915543111112,11384.6087309333,74046744001
2018,1,168.27221777777777,12262.6995766222,39524538636
2017,4,190.22351786666667,12094.4273588444,65921458372
2017,3,813.9531284444445,11904.2038409778,86922524997
2017,2,750.2535444222223,11090.2507125333,79306731725
2017,1,-107.85888777777778,10746.3840347778,29246882971
2016,4,158.8037424,10854.2429225556,46882346455
2016,3,456.1338808888889,10695.4391801556,59151040880
2016,2,187.10240444444443,10239.3052992667,43189816441
2016,1,-361.9203166888889,10866.3200494,13714349401
2015,4,-219.41448326666668,11228.2403660889,31186276630
2015,3,0.0,0.0,64659628978
2015,2,0.0,0.0,53711251269
2015,1,130.45217964444444,0.0,38446628229
2014,1,0.0,0.0,32984736292
2013,4,0.0,0.0,44994269134
2013,3,0.0,0.0,74886710415
2013,2,0.0,0.0,41486906651
2013,1,0.0,0.0,24357724973
