year,quarter,EPS,BVPS,Revenue
2025,3,1668.1008566350304,17441.0161799067,128007758666
2025,2,1812.6826584576252,16068.0953735392,137197435748
2025,1,1128.5355756594333,16752.9230209138,118012524261
2024,4,899.167428746339,15824.0883126699,123707054093
2024,3,1150.6172414257207,15131.7477730607,113249623298
2024,2,1284.4596456459449,16044.2324362101,118094216777
2024,1,1288.4144255917724,18740.0471932284,100359087182
2023,4,1174.2454354653037,17701.1308813331,113625899852
2023,3,1438.783673332072,16792.3812489841,87086778071
2023,2,704.6337202814766,16642.0982516635,121941290203
2023,1,1246.3074668039897,17639.993204744,94554431705
2022,4,687.3278096862001,16641.308959392,111344635251
2022,3,1363.3487476383734,15400.033880016,86835229898
2022,2,762.0530354230676,16227.6325724443,97617340558
2022,1,1364.9074886881747,15905.0784332356,83433849995
2021,4,784.7411460651102,14540.1709445474,98119868878
2021,3,863.5058101345428,13587.6490812639,74247425096
2021,2,747.668512554927,12911.0059283824,83721037792
2021,1,1094.8181748156665,16054.7963509204,82698782689
2020,4,758.7049866130077,15147.3427739554,84677009712
2020,3,927.9586766130343,14495.918523547,80856564266
2020,2,693.3317246070173,13721.2059932189,76084440602
2020,1,1024.210014979175,14959.0044210551,75955192128
2019,4,739.8507770884241,14313.9999702715,83341753125
2019,3,893.7466508369952,13702.4988838899,70341392577
2019,2,622.4213207755196,12942.0946854073,65368910200
2019,1,963.6380858766065,14217.0020253697,65120742564
2018,4,621.0630696716506,13397.9096523746,69766022571
2018,3,834.1722053029678,12937.8778898283,63590780008
2018,2,508.14907793301376,12228.8315153416,79936256417
2018,1,990.1894978895251,13619.5798442159,66735263915
2017,4,382.7806094628948,12777.9187710348,81281938869
2017,3,978.0697897319537,12499.5108843009,65612539409
2017,2,0.0,0.0,67129171524
2017,1,0.0,0.0,55789265068
2016,4,865.2332094672917,11452.7114144678,60013121431
