year,quarter,EPS,BVPS,Revenue
2025,3,161.87977590634432,11576.6084444057,142882336165
2025,2,0.13357795363714714,11436.99831558,97999154813
2025,1,1748.7730186203955,12348.3988464603,396874347028
2024,4,271.4311290730135,10702.8019277553,168588136322
2024,3,0.5926970337719386,10429.3250970519,98904275498
2024,2,-100.23422985999618,10428.8107503073,87487198762
2024,1,-25.36028885996441,10518.1922041839,210326884358
2023,4,-1959.410917967379,10555.8482217475,211211593449
2023,3,-130.1438881081351,12514.4859159959,83020290792
2023,2,-277.1867517574523,12641.3097647343,86501178073
2023,1,-344.3454367682835,12729.7104172643,112827766554
2022,4,444.0612085496486,13415.5795222784,255811516678
2022,3,302.7165868116471,14537.4965730618,318804039960
2022,2,-214.88826900788126,14234.5298702967,190672466463
2022,1,1278.1037568825768,14439.1430720854,126716499581
2021,4,416.2650123879567,13225.3813873007,123438904677
2021,3,-525.7242631212877,14344.5137663017,42161365574
2021,2,85.61155449409007,14856.9098041291,70877483256
2021,1,777.7949237098009,14803.9461104609,188240397044
2020,4,946.0802940722733,14136.5897125777,205044370779
2020,3,83.48098386688297,14175.8945850518,136497142114
2020,2,74.21328032324152,14114.0214204893,65596977111
2020,1,448.46701137968927,14047.1754240728,122341574857
2019,4,351.0811471935663,13571.994004089,135978963044
2019,3,6.007805983485156,14424.2645701144,54197215761
2019,2,53.58278377747977,14432.573552924,61301402123
2019,1,375.6928006208731,14365.1924029925,152526712856
2018,4,581.6322878740731,14815.1118974696,142437862262
2018,3,458.7878890789628,15137.6923241197,91587740201
2018,2,149.02959303644943,14739.3436713543,80821522974
2018,1,192.86464585850118,14489.1192384519,111043488590
2017,4,335.71889690812196,14159.2193164071,113051041458
2017,3,1013.4285874284428,14411.7013448556,106199847480
2017,2,236.77620062543866,15091.3191437434,73850626197
2017,1,114.2001987227812,15503.6410985839,161652481392
2016,4,2200.6776883560656,16279.6218784484,450759358747
2016,3,916.1944243971247,14410.3461068169,204209282103
2016,2,197.61779598735367,15855.083359478,101754471241
2016,1,1030.0670459861149,16608.4232864051,189554057062
2015,4,0.0,0.0,235005952166
2015,3,581.5063869603941,13791.6587272959,147300973618
2015,2,133.02634792469144,15121.0800005011,55603036021
2015,1,210.6905215007455,15835.0906504834,162414521316
2014,4,716.8879686555367,15989.9724869129,124789016529
2014,3,11.972669992631735,15299.0619574871,87601929678
2014,2,-263.5361859042555,15440.333670357,74911255992
2014,1,657.5301946564297,15494.970840965,115477278434
2013,4,345.94302221983463,16984.3216578683,125977757591
2013,3,-98.7612044580472,16562.0742019324,141630018114
2013,2,-243.77892627560695,16724.2907087395,83585550211
2013,1,776.9538248846267,17026.5575662262,113781125521
