year,quarter,EPS,BVPS,Revenue
2025,3,71.40570462142671,10531.983146002,186078080492
2025,2,19.583415854604286,10460.7574585301,161143315982
2025,1,3.6577846426430924,10445.0056717731,119712524404
2024,4,9.261031321968622,10442.8514625602,153639316780
2024,3,8.229527996544329,10434.6122434213,139092572754
2024,2,4.06851047653502,10427.6731319817,140287839006
2024,1,11.356723493368543,10425.6256447627,122549204674
2023,4,17.857170416198947,10416.2899445268,144734473810
2023,3,4.866709124571083,10401.585137284,144971378294
2023,2,22.91082367235436,10398.7394514169,144959597598
2023,1,15.876041855580004,10377.849651002,110006856473
2022,4,-611.4119831782536,10363.9946324039,191921066681
2022,3,-80.89066781855715,10951.456530156,91281942620
2022,2,2.5865651822259026,11034.3739175315,189127654117
2022,1,102.79855709072912,11104.6995514128,197365121398
2021,4,165.5586152882058,8491.6199810918,224174772849
2021,3,109.36140354703343,11124.7990805385,151737038896
2021,2,155.79479367478626,11020.8273631948,167675597919
2021,1,46.236106907159055,10734.8900267811,145449191155
2020,4,43.773942412765344,10691.3530448065,129281768141
2020,3,30.091949336695638,11478.5915611784,130785324824
2020,2,0.9927270771328762,11451.4085305784,100674240626
2020,1,7.946484958102633,11674.0797431081,92513186895
2019,4,26.639369248516513,10827.4606542172,156156859721
2019,3,3.495726158768677,10811.1341910444,122036540821
2019,2,48.107324928318455,10807.6384648856,96635265700
2019,1,-41.34941296938491,10774.0887943177,84239518191
2018,4,2.580834578092257,10815.4382072871,136775217028
2018,3,76.70351148886448,10830.0974977253,120111057156
2018,2,204.84141779002533,10743.0852353313,121341293208
2018,1,5.444323385537365,10538.2438175412,78902572636
2017,4,58.89195860221559,10532.7994941557,113055583966
2017,3,40.049042529968055,10473.5059036908,89423121536
2017,2,42.53034807884226,10433.4568611608,109940642097
2017,1,28.414505203871695,10392.179235387,91596148011
2016,4,-11.01590979102939,10364.9273206881,128253163439
2016,3,-134.66476912491788,10351.5901524977,93322151364
2016,2,164.34266730220497,10486.2549216227,89440815080
2016,1,5.2911894554886585,10858.5856467885,83934378671
2015,4,68.27399175575701,10853.294457333,130157079105
2015,3,43.90965170306717,10789.2825733261,111726020102
2015,2,446.4908575384159,11146.1470528372,153509131893
2015,1,179.05526862229394,10520.1908206102,139204146784
2014,4,482.1431411896222,11244.8603415272,121278355646
2014,3,94.05225939020501,10771.2810476952,141205116937
2014,2,419.8692073222246,7460.2800952895,173977441347
2014,1,216.03614188056235,7041.6567304914,120128660607
2013,4,14.0288074,10583.8072847,164621463949
2013,3,68.2922197,10524.9872245,105191565152
2013,2,130.0606984,10504.6410296,135796456678
2013,1,53.2022308,10379.8365372,67202162401
