year,quarter,EPS,BVPS,Revenue
2025,3,40.534326415306076,11734.5044870906,135625209358
2025,2,45.59000305728164,11693.9701606753,146393523949
2025,1,34.171461370054445,11648.380157618,100425246526
2024,4,24.39688107655029,11614.208696248,113887305190
2024,3,31.661652673603975,11589.8118151714,69013379711
2024,2,36.668294810149554,11558.1501624978,90211847396
2024,1,28.817397206344793,11521.4818676877,36729603316
2023,4,16.505614409979298,11492.6644704813,33065220284
2023,3,27.355135973382414,11695.3451908157,119159544976
2023,2,105.63925880483706,11667.9850695497,35187283252
2023,1,126.11025141877793,11562.3458107448,260575264215
2022,4,558.9310918244599,11436.2355593261,629562554376
2022,3,119.94683329046286,10877.3044675016,305782859042
2022,2,198.1025078798118,10909.7766860559,277412873553
2022,1,111.8490369484954,10711.6741781761,212765373303
2021,4,706.5613742653112,10599.8251412276,776439650133
2021,3,140.51825644025797,12741.0635860987,208266833502
2021,2,276.4013752749888,10056.6257155582,223300856841
2021,1,0.0,0.0,80134851625
