year,quarter,EPS,BVPS,Revenue
2023,3,6.5345888655453,9685.8005908176,20507714423
2023,2,-155.8589245738988,9679.266001952,13781914497
2023,1,-122.44407769408542,9835.1249265259,15227726615
2022,4,-451.9310785153186,9957.56900422,10008946621
2022,3,6.142798411208158,10409.5000827414,33652782692
2022,2,-106.96187264979827,10403.3572843302,29419912859
2022,1,9.140889242108564,10510.31915698,384860263422
2021,4,9.130390469126148,10501.1782677379,152570666581
2021,3,6.600259835104701,10492.0484820371,560832835428
2021,2,12.183888104400149,10485.448222202,403801438449
2021,1,12.484102190591411,10473.2643340976,309508440271
2020,4,-25.191217086743517,10460.780231907,155658832987
2020,3,4.619557619068265,10482.9191984756,284404228293
2020,2,-52.34719941229093,10478.2996408565,191452423450
2020,1,85.65525362501037,10530.6468402688,718336628008
2019,4,-51.63945053744889,10444.9915866438,453663399311
2019,3,19.11273712900038,10559.7843734274,644977227842
2019,2,82.2383519297291,10540.6716362984,527196974638
2019,1,21.93095076404653,10458.4332843687,204569751683
2018,4,-26.788529256586475,10436.5023336046,208363393369
2018,3,8.82418744636196,10467.2001781998,375992928710
2018,2,71.91046566251853,10458.3759907535,563891346296
2018,1,18.550909398978103,10386.465525091,180608394801
2017,4,-27.437018450533706,10367.914615692,413496683200
2017,3,31.3363392055355,10368.6356663263,366738855073
2017,2,8.824919911582137,10337.2993271208,352604521436
2017,1,15.279405536392025,10372.3486657095,147975986933
2016,4,148.24717777428316,10329.7896246977,194199789239
2016,3,-60.36438485521854,10259.8890205698,128090273961
2016,2,0.43014894701268036,10320.2534054311,177418817398
2016,1,3.391545117949519,10319.823256478,409758620568
2015,4,1.1990097994309263,10316.4317113661,823849997970
2015,3,30.26914602187504,10315.5802888956,310485852463
2015,2,42.489245431160874,10285.3111610167,348766648290
2015,1,209.13682329964033,11161.7844295889,160900477366
2014,4,27.765378946867354,10926.2263597396,304231481433
2014,3,232.92192199170165,10960.6204542375,156719366825
2014,2,193.2169661330694,10677.6441332834,148479790660
2014,1,265.3036192162162,11605.3746088378,124238939261
2013,4,282.77325528846154,11272.408716,203807004930
2013,3,406.69550034615384,10792.5403857308,97711823785
2013,2,86.78390523076924,10382.4139054615,30282201060
