year,quarter,EPS,BVPS,Revenue
2025,3,50.87279665473238,10759.2703782107,351764590970
2025,2,19.979377612393236,10708.3975815559,436108649141
2025,1,12.052035918015749,10688.4182039435,226684295528
2024,4,-13.142949751303039,10676.3661680255,435553551422
2024,3,51.85385069340966,10732.7952658875,304738997931
2024,2,47.02917329108304,10680.9414151987,461337922882
2024,1,13.274049293903328,10633.9122419076,237296246171
2023,4,21.439433510514892,10620.6381926137,366383662722
2023,3,21.2562565590239,10592.5828908298,295840935552
2023,2,26.38520734824552,10571.3266342708,323098824911
2023,1,21.59871588005497,10544.9414269226,329245144113
2022,4,10.95948983777285,10523.3427110425,327259994153
2022,3,13.020160264625124,10512.4035148712,299365387861
2022,2,58.69953906187801,10499.3833546019,461371029513
2022,1,17.668988238639603,10441.3489999126,255463989820
2021,4,32.211778669047845,10423.6859665015,305552177811
2021,3,12.556528635598076,8013.1794664607,184924300443
2021,2,22.85347065149779,10494.8889519193,393057685034
2021,1,52.893837433963675,10472.8353293694,223033963958
2020,4,97.76305715517601,7020.9586866397,626973253411
2020,3,10.8416268572954,6878.8633647623,246033048975
2020,2,11.413785002409638,11026.9882797976,253753224871
2020,1,58.78747498795181,11015.5744947952,178948859396
2019,4,80.34146669879519,10956.7870198072,241691159553
2019,3,60.49921799518072,10953.1091675566,250730663649
2019,2,47.28802411566265,10892.6099495614,275322687858
2019,1,81.91056452048193,10845.3219254458,293871808005
2018,4,201.9294838554217,10763.4113609253,483437066756
2018,3,52.20475235662651,10588.2907533301,96794959715
2018,2,174.21410510843373,4536.0860009735,200917134484
2018,1,0.0,0.0,120424634395
2017,4,1.3262748674698794,10822.6508628916,214414744402
2017,3,510.28669139759035,0.0,206764663734
