year,quarter,EPS,BVPS,Revenue
2025,3,1509.2583995316813,13215.4896257461,4235873404209
2025,2,40.752513616251186,5392.1931675169,241585296856
2025,1,105.86982787,16808.4340664433,417439734059
2024,4,468.19214053666667,16696.5659766133,295513598318
2024,3,88.55226269,15939.67593779,164747380086
2024,2,594.0199860333333,15851.1236751,777064703220
2024,1,1113.1363220266667,14368.97476328,1232355078694
2023,4,265.96541541,13255.8384412533,380378206401
2023,3,29.15230391,13277.64405399,56837818504
2023,2,98.93769198666666,13248.49175008,69100390346
2023,1,65.13699083666667,13108.45288791,48302455917
2022,4,114.33676501,13045.7624054733,18176656478
2022,3,260.7167284633333,12944.45474303,211348422366
2022,2,653.9038431966667,12690.4960209767,629190866672
2022,1,214.52696312666666,12724.48937374,353875709703
2021,4,346.3032098466667,12724.48937374,336862015699
2021,3,141.59961866,5303.7283531567,219633962190
2021,2,359.20993756,5303.7283531567,122287086192
