year,quarter,EPS,BVPS,Revenue
2025,3,-31.472901566666668,8654.2680743,1225858603
2025,2,-75.77559846666666,8685.7409758667,320477529
2025,1,-65.00155073333333,8761.5165743333,0
2024,4,-138.61788066666668,8826.5181250667,122662800
2024,3,-33.282647733333334,8964.9838310333,0
2024,2,-42.609699,8998.2664787667,5430028902
2024,1,66.22524663333333,9040.8761777667,1897399972
2023,4,287.78746506666664,8974.6509311333,3284171846
2023,3,-12.0140581,8686.9787687,0
2023,2,-6.3794327,8698.9928268,0
2023,1,-4.560301066666667,8705.3722595,0
2022,4,-33.74279846666666,10612.2609227333,34941974799
2022,3,-41.05870663333334,10740.7797792333,0
2022,2,-27.986022266666666,10740.7797792333,13776482394
2022,1,-32.0711104,10740.7797792333,8087244822
2021,4,-53.53373186666666,10740.7797792333,0
2021,3,40.44431563333333,10409.1052218333,0
2021,2,133.55140456666666,10409.1052218333,34791328000
2021,1,0.0,0.0,0
2020,4,-23.2759598,10409.1052218333,38377653361
2020,3,0.0,0.0,0
2020,2,0.0,0.0,0
2020,1,0.0,0.0,0
2019,4,-0.3057338666666667,10392.2422210333,1092902280
2019,3,0.0,0.0,0
2019,2,0.0,0.0,0
2019,1,0.0,0.0,0
2018,4,264.8420087,10431.4739430333,0
2018,3,0.0,0.0,136082490
2018,2,-8.9478289,10303.2721331667,0
2018,1,0.0,0.0,0
2017,4,-114.85783416666666,10303.2721331667,0
2017,3,1.8990718333333334,10484.3863385667,2941040000
2017,2,2.0261613333333335,10482.4872667333,125399998
2017,1,2.470987,10480.4611054,2672496344
2016,4,36.7256278,10546.4158026,25506329858
2016,3,41.237430866666664,10517.9249442,28742105195
2016,2,31.126807166666666,10475.0841167667,20471846227
2016,1,3.3518122666666668,10443.7204980667,6770761562
2015,4,8.337512333333333,10886.2373716,65132524402
2015,3,219.5270604,10993.1947542,60616476906
2015,2,0.0,0.0,53706306929
2015,1,0.0,0.0,11094743416
2014,4,180.95479706666666,10526.4807370667,39399312968
2014,2,915.244762,11388.3486426667,54238539027
2014,1,13.359472333333333,10473.1038806667,2752500000
2013,4,-123.04903566666667,10459.7444083333,72727273
2013,3,-606.9729073333333,10400.4712916667,36360000
2013,2,334.71096,11007.444199,7092004091
2013,1,0.0,0.0,3500000000
