year,quarter,EPS,BVPS,Revenue
2016,1,0.0,0.0,15845945055
2015,4,-2504.70821052951,0.0,3589146010
2015,3,-134.75758404867648,11577.5577523109,0
2015,2,-165.24760168632125,12022.1442156597,2149000000
2015,1,19.593927553941057,11998.4984240664,27231012800
2014,4,16.89739370404438,11966.9822619159,80284484023
2014,3,18.445088760526673,12007.7933000015,46959051632
2014,2,38.32445728489285,11950.6560174458,107152230240
2014,1,45.470219150338465,11872.6785349547,51526434657
2013,4,12.848013497145756,9535.0188230284,63605909201
2013,3,31.870693486092247,11786.8459251639,28942996177
2013,2,139.5164451426209,15571.2066554361,132176891718
2013,1,242.72652033898305,15429.9063275734,22979391387
