year,quarter,EPS,BVPS,Revenue
2025,3,1437.8745726816667,13244.1463334568,508103403628
2025,2,-41.738760050867654,11806.2717607752,48561978233
2025,1,87.73940040253537,13056.0540387048,22973467165
2024,4,507.79435332325323,12968.3146383023,162024785858
2024,3,382.03439925100383,12462.726719537,50224572920
2024,2,149.40603035370376,12080.692320286,44454933911
2024,1,688.3370342555598,12588.7595341805,194315033930
2023,4,48.887538092329464,11900.4224999249,49228101899
2023,3,355.47508502975626,11864.188903742,21557509251
2023,2,282.0609784346514,11508.7138187122,29167648267
2023,1,254.07316314030996,12404.5325748245,82127147645
2022,4,123.84688552441413,12150.4594116842,59073607488
2022,3,973.5496260025834,12026.5391337145,172699675566
2022,2,370.98297252011844,11052.9895077119,32894071470
2022,1,214.3058511153167,11338.7611938879,22142794478
2021,4,344.7086923942176,11124.4553427726,32957146444
2021,3,-281.4659340255874,21563.6119785982,6715885188
2021,2,506.55891535742535,21845.0779126238,22308616662
2021,1,403.11762911338747,23212.5571346558,26372981867
2020,4,818.1850050567255,22809.4395055424,126469497581
2020,3,668.8143504193911,21984.3689330142,51063429784
2020,2,716.2257635989199,21315.5545825949,25235777567
2020,1,599.6601346457455,22829.6505569074,32127254542
2019,4,1429.965301183908,22229.9904222616,95350125969
2019,3,282.39757744466806,20800.0251210777,25580297479
2019,2,1366.1346864663335,20517.6325502919,49098895788
2019,1,185.92023724887434,20896.1947106318,16466450887
2018,4,893.8239044595979,20710.2744733829,80261690723
2018,3,479.06747006852447,19816.4505689233,33525920693
2018,2,277.6817737590996,19337.3884392909,25470159223
2018,1,375.38750070927665,20856.0380529437,60275243512
2017,4,304.4470332208504,20480.6505522345,111862090361
2017,3,1103.3381243720814,20127.1382622221,70732596856
2017,2,123.32910370793155,19023.80013785,56781970742
2017,1,1097.7050143357333,20464.6762223758,52802813336
2016,4,578.545849980474,19366.97120804,132816768228
2016,3,837.9327348707113,18761.811661176,53708817173
2016,2,57.97765194375186,17923.8789263053,41568558490
2016,1,551.4949175737064,21018.1806206706,14980526254
2015,4,1141.339406410526,18627.8766502782,58340088927
2015,3,580.5878007750308,17490.433429795,24831785905
2015,2,-572.1140116354752,16909.8456290199,18519451580
2015,1,272.4616590064786,18583.1950333944,21269975708
2014,4,639.6520692521053,18310.7333743879,39756498720
2014,3,783.1681329501571,18429.5972843882,44338482186
2014,2,486.375750080941,17534.935111031,35798302400
2014,1,-305.56743835968507,17075.8512498289,21081593395
2013,4,1758.8140339985514,18254.1683472352,60192630348
2013,3,-537.8076171307839,16576.9808275006,17049279526
2013,2,-133.04332228530612,17219.561998458,34488284018
2013,1,-43.58994863168014,18213.2659994459,17312806252
