year,quarter,EPS,BVPS,Revenue
2025,3,268.7310788531603,11935.635807073,1441250896573
2025,2,327.28588613102437,11653.1689206341,1566646394702
2025,1,323.29853837955557,11389.8284104388,1392975248997
2024,4,-71.53080615355123,11240.8484876816,1226539845764
2024,3,131.17914396329007,11564.2255841057,1273836192539
2024,2,253.875665439385,11435.7464579881,1620302787541
2024,1,386.978184744115,11187.2711572431,1388720069233
2023,4,74.98640373223182,11117.5807985687,1304997593385
2023,3,386.4870850562923,11168.8124955499,1639389331170
2023,2,9.226820965046366,10787.5080241498,1610527238660
2023,1,160.3868511982275,10878.4311353293,1541169970143
2022,4,4.222597663371436,11110.7785435657,1745051940187
2022,3,-289.4506291400742,11399.9193079872,1508561444970
2022,2,406.01537921720484,11689.3699371273,2122556505994
2022,1,325.5901108062868,11343.7091349845,1479942732676
2021,4,-83.51768008588513,11093.9410525074,1439587166062
2021,3,88.70506645133787,11832.2888445533,1144140394162
2021,2,183.04541469496775,11743.5866863787,1848338535696
2021,1,437.03201045527624,11560.5407290756,1255253424636
2020,4,-105.63338626900003,11250.7538367574,1164881028563
2020,3,436.92767387513123,11462.6142776933,1321695142542
2020,2,563.987905630867,11619.7984396375,1550169814099
2020,1,289.82841106938224,11497.7315034589,1681362284334
2019,4,140.69868935902625,11405.0070837633,1593910205288
2019,3,169.76295710406964,11931.4293870348,1558722556443
2019,2,175.33148350490063,11769.0255096853,1903242021839
2019,1,335.58489262699646,11951.493744488,1556744351574
2018,4,-406.73531594554373,12013.7762084122,1766658273868
2018,3,147.05126412132228,12314.9370235094,1281504236456
2018,2,365.0505229598436,10996.4123359067,1803246324259
2018,1,0.0,0.0,1494798558227
2017,4,34.588623520867685,10996.4123359067,1355180935217
