year,quarter,EPS,BVPS,Revenue
2025,3,242.8718987767551,14483.0990504488,1086685704
2025,2,162.83878793161804,14240.227151672,15872458043
2025,1,275.22017014959664,14077.3883637404,31742371050
2024,4,36.10313611951529,13802.1681935908,71564610473
2024,3,233.33195393352057,13766.0650574713,20779431410
2024,2,156.41267328843819,14032.7331035378,21536220953
2024,1,130.4489913985453,14012.7789912705,22207038445
2023,4,278.9293149896555,13882.329999872,67487048129
2023,3,237.55347806650926,13603.4006848823,22939526612
2023,2,162.09383037180183,13365.8472068158,13064393427
2023,1,106.2870193003312,13203.753376444,31111109455
2022,4,1121.2188630888274,13097.4663571437,44362030164
2022,3,263.09301548009086,12007.014056404,35083494216
2022,2,-2763.394802671414,11743.9210409239,64951985175
2022,1,2293.537489582961,22633.9164692011,29065076063
2021,4,6395.201456468152,20340.3789796182,56028089836
2021,3,443.4347303546934,14316.0965168865,27921365887
2021,2,850.8814484978577,13872.6617865318,60469047329
2021,1,341.72473056051996,14462.2689807864,22258978324
2020,4,420.61936272571756,14120.5442502259,43686589173
2020,3,405.0521627733659,13844.3472944268,23423030643
2020,2,287.2650447931363,13439.2951316535,20281372499
2020,1,417.45739982133705,20990.6077020387,29377230885
2019,4,1217.3163135702123,20601.8509455013,81893526391
2019,3,1038.995756998939,19816.5434253179,57266449497
2019,2,1196.1405433365817,18360.8130150154,67571827058
2019,1,954.428894797826,19895.3822474054,50149473859
2018,4,1697.4536815170097,21206.2557279228,83950486797
2018,3,1774.0818445654304,19512.295500694,76225949837
2018,2,1711.2919933888838,17738.2136561286,65631849380
2018,1,816.0775680746291,20001.4498279654,35829017141
2017,4,1278.9070314781404,19332.1112991337,112120576533
2017,3,2324.2715843344013,17614.5591516449,81959675169
2017,2,2015.699856523577,22934.576324,68578624911
2017,1,1504.375605941204,19911.2321406,73102955222
2016,4,2333.6423119670694,18030.865878,85392059337
2016,3,1255.6153688456145,16236.2173132,58488602612
2016,2,1457.4002774894902,21723.6729791183,52572229342
2016,1,342.6677095083803,20190.5635904872,30366646094
2015,4,2702.518589327146,19693.6755353828,58809983172
2015,3,1703.1197868329466,17898.6042937935,34058850083
2015,2,1022.3674808584686,18928.2861388889,41646760457
2015,1,520.4157062198068,18302.6724215278,35579572814
2014,4,3471.400402777778,17704.194359375,85315403699
2014,3,2276.4489965277776,14890.1764965278,43685907938
2014,2,645.0471229166667,13513.7275,44870424339
2014,1,170.73436388888888,11968.6803770833,41420115668
2013,4,455.1269388888889,12697.9460131944,61256429159
2013,3,265.68188541666666,12360.6927878472,39326714060
2013,2,301.2912798611111,12095.0109024306,44992831058
2013,1,156.63703125,11811.7473003472,22054490980
