year,quarter,EPS,BVPS,Revenue
2025,3,177.8747399172754,12864.3953563378,734995320095
2025,2,454.37867775332194,12686.5206164205,1132423410865
2025,1,635.8215265416937,13585.8755934621,1648125758582
2024,4,143.61039029244242,12950.0540669204,627148973668
2024,3,289.56415917927563,12807.5601396731,845801003849
2024,2,596.3610847944822,12517.9959804938,635143722266
2024,1,465.02885998490115,13062.535398533,1491856548208
2023,4,481.1399464363563,12597.5065385481,573904115324
2023,3,254.0608459068338,12070.7308060686,843183521389
2023,2,286.4905898912246,11817.1218618705,897532438062
2023,1,294.2835606930577,12213.3233293371,1253254188243
2022,4,182.86503872177386,11919.039768644,756535249546
2022,3,85.29672867466975,11732.1689487083,616551208297
2022,2,238.96459322643642,11646.8722200336,798058692717
2022,1,272.39700690434927,12078.9376240337,1095856585754
2021,4,72.81624221577155,11806.8064416639,877948612687
2021,3,50.99477784157567,11653.1719124569,365883576134
2021,2,252.58858278307656,11600.4937741679,876577747905
2021,1,215.11367306594929,11362.2508554322,785099716473
2020,4,108.55227300356914,11042.3663622355,765566375721
2020,3,54.2001099007234,10929.9611934104,415186753780
2020,2,-131.06602820929962,10876.3264036865,664927298275
2020,1,35.590123909676365,11009.7660734083,537834863193
2019,4,-101.17268930251187,10974.840510835,892287425761
2019,3,14.488441275815992,11076.6831697538,509016361705
2019,2,72.72817947409274,11062.8592898143,970345883650
2019,1,35.324979026444225,11295.6313935585,657231180474
2018,4,284.5454571118696,11260.9709758684,1236528450807
2018,3,177.2960624120564,11782.0413468177,610559932520
2018,2,365.83367084188404,11606.0744070784,997456200075
2018,1,280.956656583056,11936.7221055961,955295262161
2017,4,387.83878060969516,11657.7591330133,1269982776093
2017,3,247.24182132338086,11960.4901732822,628693440199
2017,2,447.2122215133568,11713.2483499119,1151701237074
2017,1,391.39935675779134,11752.8690770927,1052100052532
2016,4,444.3598427116229,11362.134281751,1346294354549
2016,3,238.33669106935895,11450.3025012494,703151264894
2016,2,268.6782610822248,16258.3268868846,1170699960493
2016,1,395.48632757734606,17455.6295932907,973753353292
2015,4,1332.9323444855586,17157.5068179798,1320525144308
2015,3,379.8964548643232,17423.950063303,642806530874
2015,2,1241.205949044095,17122.2108316502,1475701447233
2015,1,988.4086616558742,20033.5424196346,1367410173959
2014,4,2582.764948208963,19221.1282075624,1552352129036
2014,3,362.44837566810565,16439.9033457704,573545166862
2014,2,761.1035298077911,19231.3609888992,1355114604162
2014,1,1931.3037714950149,18602.4123384341,1825474567034
2013,4,1565.1505443005447,18046.2262049286,612881695390
2013,3,725.8545578039881,16486.1200650504,1022467756928
2013,2,1544.5752434088806,15825.7489348083,1261949426610
2013,1,1910.4502648139583,20736.4124127505,1872891236981
