year,quarter,EPS,BVPS,Revenue
2025,3,2.893539429779092,20372.2811749764,7032928535
2025,2,3.128957395104487,20369.3876355466,6597807871
2025,1,12.004938847757751,20372.0278390208,24847171361
2024,4,47.16147058725487,20365.0054481998,3870516322
2024,3,1.0354412995143156,20387.2615902583,11642337124
2024,2,6.774013047145062,20386.2261489588,10456751163
2024,1,2.720684425095587,20387.0266516439,11707998904
2023,4,979.9017757317769,20753.1690221975,12188421109
2023,3,-487.30962868638517,19756.8666444436,4520899950
2023,2,-402.56453469960564,20254.836664011,6922737901
2023,1,1.5835127288000561,20665.8518932361,11905471193
2022,4,-81.44127351336216,20587.4207574278,10872267641
2022,3,1.6083569730890133,20668.8620309411,5505841962
2022,2,24.134067582478025,20667.2536733014,15132731043
2022,1,63.35816779948598,21116.6233135215,6607423565
2021,4,54.28131231478488,21053.265145722,8415615712
2021,3,31.394462463623665,21210.2796122524,6919936135
2021,2,68.99997599911997,21178.8851497888,13567351205
2021,1,1242.0733160215875,21609.3014243856,78151837670
2020,4,1070.6044734973616,20367.228108364,72825505135
2020,3,67.39346309364677,19591.5159062499,7187862454
2020,2,252.7741597191897,19524.1224431562,15867814996
2020,1,603.3904123151182,19661.879617586,37826246368
2019,4,262.46162292617396,19058.4892052709,10487239276
2019,3,47.75304027814353,18796.0275823447,5982410691
2019,2,440.74282590361645,18748.2745420665,41425293111
2019,1,175.72996676544807,18727.24227155,8434117613
2018,4,578.094372126978,18551.5123047845,15339977293
2018,3,214.99083366390101,18059.3026804316,14718423127
2018,2,133.84947514742208,17941.3706695912,10345692088
2018,1,270.17087693215416,18575.3646193333,16954109164
2017,4,223.09806226228295,18305.2036486667,10541574500
2017,3,301.4006473570698,18090.7804333333,15662054300
2017,2,473.13608832323854,17789.3908373333,14773478683
2017,1,696.2776495138155,18229.9680053333,50674894670
2016,4,445.2057522109144,17533.715886,33769571303
2016,3,606.1431999173303,17088.526458,37643544610
2016,2,479.3397017890656,16062.670566,23732170682
2016,1,606.6054568667518,16465.4535693333,34480490783
2015,4,452.6166279430246,15842.6512518792,30097247410
2015,3,443.7834433929244,15389.4703226667,24432346126
2015,2,221.7709562683965,14945.703152,10944959292
2015,1,203.20371613625832,15681.1133186667,9840189683
2014,4,468.978904,15477.9170533333,19518617104
2014,3,179.58085666666668,14839.943604,11869058035
2014,2,188.65860733333332,14461.0966933333,9153679593
2014,1,234.82322,15442.671246,11294188314
2013,4,86.52897266666666,15208.7177233333,4998972532
2013,3,482.177464,15318.5451513333,19560551824
2013,2,315.46589266666666,14841.337384,12535009355
2013,1,818.9292726666666,15820.3029086667,33233359556
