year,quarter,EPS,BVPS,Revenue
2025,3,-75.36180222076987,4871.1195820988,11245125000
2025,2,0.08771768579052433,4940.3870497676,13907315000
2025,1,23.08008051375708,4940.2993319601,20004712200
2024,4,14.159441499343416,4917.2192515681,18867356667
2024,3,14.788850025183892,4903.0598136006,2552652000
2024,2,37.18816148820056,4888.270890624,12145207385
2024,1,31.24105984015059,4882.8374253217,7765615385
2023,4,87.22536345733043,4851.5963656033,41119796478
2023,3,25.002920292200535,4764.3710020648,4301160000
2023,2,0.5107822660420093,4739.3680818944,3677636000
2023,1,14.684905525796916,4738.8572995065,2254850000
2022,4,-118.23535724244847,4724.1723941025,4242976800
2022,3,48.1769411681794,9020.3840814095,6562677500
2022,2,-10.204727727154463,8954.688021086,2706032500
2022,1,18.855621094614097,8867.440691153,2920057200
2021,4,-81.7711192824172,8848.585070099,2962390000
2021,3,29.403536519119683,8930.3561893814,2178853800
2021,2,-6.455339056134442,8901.9602376651,2437540800
2021,1,44.32266896560599,8915.5343676801,2209161000
2020,4,55.070839058590515,8872.2030465141,16351896000
2020,3,37.62640216956174,8947.3781865885,3767029200
2020,2,20.47865292180035,8908.6240201432,6897856000
2020,1,-29.096939451769387,8889.2023774877,4421011600
2019,4,31.047542771106617,8917.2423066732,2765500000
2019,3,49.72104054393472,8878.2841464812,7589850000
2019,2,40.218265890828775,8828.5631059373,19680824000
2019,1,28.78739992665879,9118.8982960896,520000000
2018,4,-4.722169566613373,8759.5574404852,780000000
2018,3,-13.808264213797136,8763.4482464424,780000000
2018,2,-9.468876286094696,8777.5884703202,1560000000
2018,1,0.0,0.0,1300000000
2017,4,22.58891139861475,8765.1093040993,2154674892
2017,3,0.0,0.0,15776818745
2017,2,0.0,0.0,0
2017,1,0.0,0.0,3213000000
2016,4,-42.32352570914669,8687.5236083303,0
2016,3,0.0,0.0,0
2016,2,8.461317424253158,8698.667683373,0
2016,1,-357.0038416649924,8690.1389835992,60874190880
2015,4,867.296560371982,9047.1400571185,9020780000
2015,3,0.0,0.0,3863620000
2015,2,0.0,0.0,13432406100
2015,1,0.0,0.0,2258193900
2014,4,-1936.8917059357705,8872.6017685219,0
2014,3,27.956269258613585,10903.5970624787,2130940260
2014,2,30.307251235537123,10875.6407932201,906542340
2014,1,24.8665232211235,10958.8531563331,2551633200
2013,4,3.6817371498313487,10933.986633112,1225114016
2013,3,2.8086871862644656,11098.7100158167,5437625900
2013,2,180.84174464227772,11095.815292981,11635504481
2013,1,174.2305893331126,13552.3103620915,12229156180
