year,quarter,EPS,BVPS,Revenue
2021,3,-698.8684035526315,10234.9535603947,6382667072
2021,2,-926.8130375,10234.9535603947,1442770910
2021,1,7.323432763157895,11161.7665978947,13262892736
2020,4,1555.3809488157895,11129.8961998684,22052753302
2020,3,-670.7998834210526,9574.5152510526,27811085736
2020,2,-883.1607971052632,10245.3151344737,10965605383
2020,1,7.756370263157895,11128.4759315789,14481222434
2019,4,123.82886934210526,11120.7195613158,96622447104
2019,3,8.152440921052632,10996.7925221053,57310596542
2019,2,0.0,0.0,88224944400
2019,1,13.696530657894737,10975.0481780263,33369711730
2018,4,40.92648894736842,10961.3516473684,83906138955
2018,3,13.757911842105264,10920.4251584211,40076074756
2018,2,50.21327881578947,10906.6672465789,103600755011
2018,1,41.46907789473684,10856.4539677632,47056896063
2017,4,2195.610967763158,10814.9848898684,111127914654
2017,3,14.98697947368421,8572.8350027632,27709473237
2017,2,25.086441842105263,8558.9006548684,11098025792
2017,1,65.99105513157895,8533.7747393421,62881922430
2016,4,48.195602105263156,8467.7836842105,42186726867
2016,3,12.788455657894737,8439.9547365789,54560588664
2016,2,28.08944289473684,8427.1662809211,48464195275
2016,1,16.40025842105263,8399.0768380263,12611414761
2015,4,84.55798815789474,8382.6765796053,80978397186
2015,3,16.15407065789474,8298.1185914474,45647665482
2015,2,15.148713684210525,8281.9645207895,17271622871
2015,1,12.948513684210527,8266.8158071053,11837202870
2014,4,-4292.0072380263155,8253.867293421,23291578796
2014,3,-345.6110243421053,12552.5763623684,22430529102
2014,2,-336.86082671052634,12898.1873867105,19086392549
2014,1,13.365122105263158,13235.0482134211,14399864983
2013,4,9.037118947368421,13221.6830913158,35972267889
2013,3,18.57400657894737,14257.1007859211,24418035228
2013,2,5.4311603947368425,14238.5267793421,8258540535
2013,1,13.624798421052631,14233.0956189474,11288123497
