year,quarter,EPS,BVPS,Revenue
2025,3,199.63583095700668,9082.7368871487,59827525243
2025,2,91.8416557487235,8027.6527264869,50107608298
2025,1,76.05434800292545,7995.7894710168,61082357141
2024,4,246.3385125797687,7815.7475485382,72151471765
2024,3,154.5651450606484,7569.4090359584,53192958669
2024,2,129.77552328618094,7414.8438908978,47745235560
2024,1,13.985817201816717,7285.0683676116,45341250719
2023,4,-776.5525387237087,7271.0825504098,45426508283
2023,3,-78.22427511004173,8047.6350891335,52429617573
2023,2,-226.15160761497063,8125.8593642436,45582078309
2023,1,-501.7415315195816,8352.0109718585,42870272564
2022,4,-910.1305698947543,8853.7525033781,49210907011
2022,3,-660.6743736880699,9765.3091835204,45438011243
2022,2,-1618.3392533417932,10425.9835572085,43728387553
2022,1,127.60033519284806,12201.7642610269,49653053470
2021,4,4361.399644575926,12074.1639258341,42439227606
2021,3,-424.72382833056565,7806.4733560653,33902027466
2021,2,-469.22641820306563,8231.1971843958,45467883979
2021,1,-392.5664494630656,8700.4236025989,40441278901
2020,4,-389.61720102950966,9195.2592821378,74177942036
2020,3,-587.1106228501862,9584.8764831673,59547099587
2020,2,-1047.3964793730051,6334.7957354622,42660379299
2020,1,18.197537243647,11974.8753182342,79253310506
2019,4,1975.4541058242442,11963.96078954,94651781289
2019,3,122.6914115152557,10080.0863724638,104405641686
2019,2,-556.0195377325405,9981.6581753135,90637209055
2019,1,-317.88460299624796,10539.1285568982,91621691269
2018,4,-964.7203299239354,10868.1250145915,103710407691
2018,3,-396.93486732824806,12255.8455360881,120388618508
2018,2,-600.0098174618764,12612.0835308022,105754034435
2018,1,-192.94070569760174,13501.6884151869,105020240285
2017,4,177.02318067884678,13694.6283323614,105631606116
2017,3,745.0618353225816,13714.3020025139,165060082911
2017,2,565.9375093710975,12975.5443312723,130622697393
2017,1,583.3593240855661,14826.7731481087,128380303787
2016,4,720.4717588054096,14155.0471310843,127160470776
2016,3,824.8367757601854,26892.1175431821,139036967194
2016,2,1413.772249521828,25248.9007723328,123955121377
2016,1,1326.4065710822615,27612.5929130322,124468337510
2015,4,1410.1690312762598,26286.198825927,132641935805
2015,3,1395.347234220029,24884.4353067199,126476851014
2015,2,1215.4624593410388,23489.1012053381,121342642879
2015,1,1179.585896697194,26120.9966126062,109264320501
2014,4,1225.660331786354,26120.9966126062,140563642102
2014,3,1503.892520174508,23786.5654641718,113266208728
2014,2,1531.3883943894618,22275.6140353457,116531761745
2014,1,1299.287930825048,24447.8498890722,116448401206
2013,4,1134.7663257115748,23148.5619582471,115495232468
2013,3,1547.4598949575568,22006.6436883504,123917819195
2013,2,1332.8949107915714,20453.5954907103,110986680098
2013,1,1273.4927156474535,22889.0694143665,115206043050
