year,quarter,EPS,BVPS,Revenue
2025,3,921.6624540785303,35795.3705888246,112193862251
2025,2,1795.8324619626367,34873.708134746,223248858263
2025,1,2201.163336326614,35452.3417060422,233764584910
2024,4,968.5779557350324,33251.1783697156,94596155109
2024,3,842.3107183854438,32282.6004139806,90670392805
2024,2,1308.2307545727517,31440.2896955951,161957274464
2024,1,628.9179608857952,32513.8843165672,76245765332
2023,4,1232.4164680043853,31884.9663556814,144969249744
2023,3,639.8623770370357,30282.3657928366,67451054395
2023,2,486.4522445708541,29642.5034157995,66743885438
2023,1,1014.6725375964693,31687.9601589698,115695153560
2022,4,608.9889227607529,30673.2876213733,103298750738
2022,3,1648.2730345570994,30034.4042725537,177902537199
2022,2,816.7280524018131,28386.1312379966,233364919981
2022,1,972.9477431320996,30234.8454981913,114330899452
2021,4,478.6163754466177,29261.8977550592,63822041326
2021,3,397.76203939813655,28756.9745343369,52041068999
2021,2,4368.642119742838,28341.2257842266,555552908748
2021,1,653.1487238765249,26307.5935128382,110234020168
2020,4,1304.704829379983,25654.4447889617,183580472713
2020,3,468.2191321244637,24368.2293071204,72378033678
2020,2,954.5149076991706,23900.010174996,213123826171
2020,1,1262.6994073423564,25068.0467452318,206395949563
2019,4,719.9996949532722,23805.3473378894,268942983497
2019,3,372.84783229068375,22904.6138851248,49501259950
2019,2,483.6355745949823,22531.7660528341,107839106642
2019,1,1096.007217826278,24017.5917104711,172584386830
2018,4,819.5576344162132,22921.5844926449,191350613580
2018,3,261.96633020748413,22563.0088512139,98558827639
2018,2,923.9176778137892,22287.5738161894,119919942963
2018,1,1519.085599059106,21363.6561383756,167315625012
2017,4,2179.5260628996916,21821.6127855689,359558421225
2017,3,555.1102563564232,25621.1852898483,195951953546
2017,2,232.90876107708718,24556.7917495811,207574598996
2017,1,581.4079202230766,24110.8447551315,57217950250
2016,4,3911.159703056032,25693.069504617,366946747121
2016,3,813.6156808486319,26771.2117109216,112183491115
2016,2,706.8255279449639,25959.8481584696,99783713953
2016,1,780.1564499843545,25254.9791585027,38008189886
2015,4,1487.1048341666815,26224.5921007113,222935045353
2015,3,184.05861585868078,24729.037935711,43437994417
2015,2,937.5685644230831,24545.0816004078,115324005447
2015,1,19.58930748895596,24513.5909455363,27358883627
2014,4,1234.5837232762315,24507.6313056252,180188750747
2014,3,553.9603563093682,23244.4713264659,56211107925
2014,2,398.33960529509346,22718.9923826152,48212695977
2014,1,-1221.4148367664075,23458.7884996597,34776767964
2013,4,383.31332454840555,24680.2033364261,90156975499
2013,3,-437.27452272857437,24307.4496924655,50598310675
2013,2,464.74458351121655,24730.9736818304,73490467373
2013,1,527.7753609358982,24816.4087967443,55335219126
