year,quarter,EPS,BVPS,Revenue
2025,3,1526.1590996447455,19844.0871479722,1309592802265
2025,2,1266.1774182951738,18317.9280483589,1158714736390
2025,1,1115.6653449448575,18020.0299928606,1255827400747
2024,4,624.9691785606617,17904.3646478843,1306381612769
2024,3,1004.5614386945621,17279.3954693236,1361525887852
2024,2,517.1966896473268,16274.8340305976,892503050112
2024,1,933.2446466786491,16744.5332189571,1099788802289
2023,4,823.2910754943914,16811.2885722784,1104055792479
2023,3,993.9691659940318,15989.7990286908,1139061835930
2023,2,700.9900003640859,14995.8298627283,1015408475716
2023,1,769.11130830553,16956.2214202059,881211515266
2022,4,1611.1909310048666,16187.1101119004,1084946352851
2022,3,824.6666498565663,14575.6114735185,1381736888231
2022,2,903.2913559553854,13750.6384518116,1225655021490
2022,1,755.8124243462811,14467.5496124373,856365670407
2021,4,870.1169222397165,13720.2199575949,1038381141223
2021,3,525.2743258576558,12854.744347375,996377560296
2021,2,490.59207253524136,12329.4483559656,711187237265
2021,1,623.6644257645465,13666.5289017874,722024180383
2020,4,801.6606655159519,13045.3088996155,666761983836
2020,3,301.16556433193443,12255.9577040569,982096818697
2020,2,729.2325797205507,11954.7921397249,1033452021278
2020,1,353.04625030704614,13262.0933600787,771614038753
2019,4,554.7752491124597,12909.0471097717,903687518904
2019,3,606.4643197187173,12374.1752522077,897220963427
2019,2,577.793143899706,11767.7012498712,837488631374
2019,1,519.2544623045239,12877.841961291,712313812276
2018,4,438.65957225316237,12365.1961525417,804376460906
2018,3,575.7540058524281,11949.2018898896,906833640998
2018,2,456.77277465466324,11378.2181174015,660008174992
2018,1,603.5481172486773,19276.2683849735,609720910094
2017,4,696.390996031746,19493.6726675132,779583683757
2017,3,0.0,0.0,867744363120
2017,2,0.0,0.0,740595928089
2017,1,0.0,0.0,639590840173
