year,quarter,EPS,BVPS,Revenue
2025,3,482.9708431192922,11105.4377159017,71953115013
2025,2,529.7639360744234,11277.4393138738,53222442673
2025,1,356.41383729597885,10814.0541305612,42824937431
2024,4,650.4793732655338,15579.6778499242,40624262187
2024,3,505.9003703166731,14836.0304192046,34446735190
2024,2,1721.91560795773,14330.1300488879,30301104470
2024,1,357.30259109383945,12675.7735740595,19119272684
2023,4,274.0306104891463,12318.4709829657,20965635851
2023,3,1276.13087400085,12343.6611694583,20574858676
2023,2,997.6778431208716,11067.5302954574,19696516978
2023,1,245.8430130097964,10069.8524523365,16597964366
2022,4,18.78205227366775,9824.0094393268,24490441902
2022,3,829.1565440501145,9768.606898531,20797904393
2022,2,-249.9384578141838,8939.4503545469,19717050809
2022,1,-41.28553459784164,9189.3888123611,17022064984
2021,4,-350.474125158647,9230.6743469589,17147477557
2021,3,-33.39604352649268,9797.1335463048,27410773437
2021,2,-224.51069572175754,11653.6665550179,23069461453
2021,1,-138.70767176065382,11800.0939521108,22001929521
2020,4,92.81509979197139,11939.0597302663,27123097587
2020,3,16.341681118143008,11840.5989112762,36738304833
2020,2,-42.22690699215872,11824.2572301581,21240229108
2020,1,1.0324257112652822,12145.3904469329,30610769793
2019,4,168.85825844490776,12645.018534328,33195730094
2019,3,198.77914548758912,12472.7910544728,41296105106
2019,2,139.55293976219548,12274.0119089853,35114763318
2019,1,285.10866371923703,12705.3746946861,47512032066
2018,4,231.25099940586847,12420.2660309668,47806839376
2018,3,157.45986606775742,12185.1021302538,46812072705
2018,2,135.24984740495958,12084.1438380237,38183525172
2018,1,190.3411438663862,12545.9173507099,47865830936
2017,4,561.4980707439875,12355.5762068435,45201913630
2017,3,196.28093215969247,11786.4699047921,56377234235
2017,2,73.03883000056383,11590.1889726324,46391268206
2017,1,276.6525239906073,12189.6958079556,47246328250
2016,4,314.8810917098617,12413.0432838956,48348675427
2016,3,623.0414244419402,12092.1858980703,54175099867
2016,2,536.6656688828416,11469.1444736283,41886954807
2016,1,244.89217339357023,12079.8795338952,38295004205
2015,4,384.8614338626752,11810.5091875174,38130422004
2015,3,64.46751570793217,13766.3777247023,35044042564
2015,2,344.7018832968053,13632.9358978185,29984452223
2015,1,633.0595516619526,12919.4030325955,31907582743
2014,4,546.818635450472,12370.1184518286,27421384999
2014,3,88.17487849201729,11811.0501160328,32251222802
2014,2,116.79408279296013,11722.8752375408,26277870359
2014,1,73.7124125016994,11654.7779383094,22811012315
2013,4,199.57753449601404,11581.0655258077,22594179485
2013,3,121.7158250360841,11315.6582455449,22630384396
2013,2,-169.94928916648226,12890.0091664968,17864063859
2013,1,72.34652754431016,13059.9584556633,20452442564
