year,quarter,EPS,BVPS,Revenue
2025,3,6.364826974345804,12993.057779752,2271584145
2025,2,18.960601170244416,12986.6929527777,-302503703
2025,1,7.433164657575704,12967.7324617458,13281362963
2024,4,25.985944444945318,12960.2991869499,6090557319
2024,3,5.644551842880323,12934.3132425049,13546782441
2024,2,6.081523340194238,12929.482595581,15419788199
2024,1,13.021356850959167,12923.4010722408,19880767661
2023,4,53.05707822917989,12910.3797153898,33944343574
2023,3,14.504056478559937,12860.3974681336,15552184708
2023,2,16.831068958551672,12855.6401687261,25843028246
2023,1,5.083826255278783,12838.8090997676,5420292066
2022,4,15.234424864562715,12833.7252735123,24527323923
2022,3,10.436883289160217,12803.5609948418,19422922222
2022,2,7.062795433351796,12793.6013335026,19747198968
2022,1,4.922504994603951,12786.5385380693,8540543959
2021,4,14.347092262073735,12781.6160330746,34311981913
2021,3,7.87793819045115,12778.1282670826,20392712092
2021,2,6.706610421379122,12768.3634775358,9979557814
2021,1,4.953965334195597,12765.0363673446,7223823638
2020,4,15.87374586646114,12756.7029017802,29040659915
2020,3,12.017138941731204,12758.5472660468,19900514393
2020,2,4.566873598446756,12746.530127105,8730790909
2020,1,5.150548413483762,12741.9632535066,4545454545
2019,4,7.831152293326712,12736.8127050931,19872301820
2019,3,5.144713760886214,12726.2300824405,3797774545
2019,2,0.21704176656077628,12730.5944159853,7164303637
2019,1,9.292005539082181,12723.4083701253,3018181818
2018,4,5.88048867317149,12721.0853686796,3246666364
2018,3,0.5209766055894242,12727.3505818449,1724545455
2018,2,-8.495215438668652,12709.5743047699,6274922192
2018,1,11.083682003270525,12718.0695202086,2018439171
2017,4,16.629359572253808,12706.9858382053,22180259938
2017,3,4.824599792052933,12705.4221871285,9667967741
2017,2,-2.976786635441305,12700.5975873364,1671073633
2017,1,5.975926971446143,12703.5743739719,1670500071
2016,4,2.525147486713342,12697.5984470004,28528906569
2016,3,19.84732825543522,12710.1700779911,16084500427
2016,2,-3.9186835347297677,12690.3227497357,24194543835
2016,1,16.467382354811694,12694.2414332704,6044870680
2015,4,5.3632540913841344,12677.7740509156,9985100470
2015,3,0.8451284123092773,12684.1066100315,5448134867
2015,2,7.116798073261014,12675.486862955,20786418182
2015,1,16.79272448426861,11991.9683152413,8728184090
2014,4,12.979365627426791,12789.1638417721,4936215473
2014,3,0.8454819759308702,12776.7184373804,12319366791
2014,2,-10.650407451006096,12669.5093733347,20679993537
2014,1,64.91942696864395,12716.1962129462,17137246706
2013,4,46.77922741840807,12615.240353817,50330193709
2013,3,36.99938156824838,12573.981866889,6493299039
2013,2,-54.883040374236494,12513.6850605846,10807491020
2013,1,67.36882217016912,12522.8418494369,8480281884
2008,2,0.0,0.0,32517102832
