year,quarter,EPS,BVPS,Revenue
2025,3,227.34090947078732,14217.8575966137,582621956850
2025,2,342.26843664772247,13990.5166871429,731277265790
2025,1,341.3633670405735,16138.0177541254,733698562712
2024,4,875.4101608499554,15796.6543870848,814421010144
2024,3,416.1036130427625,14921.2442262348,527470822171
2024,2,599.5658548984128,14505.1406131921,646804672896
2024,1,598.6898748390748,14581.7468204127,623658225946
2023,4,659.3808266053784,15779.4147197921,657544741119
2023,3,445.71340644137507,15110.0370655138,570549035050
2023,2,702.6247036535874,14664.3236590725,743102026604
2023,1,654.8140719642871,13961.6989586871,664901151538
2022,4,4320.34662723256,15620.1124037309,939149716843
2022,3,245.8731748940838,11156.4264574865,635949969536
2022,2,271.6079043171681,10910.5532825924,729985419082
2022,1,273.5958921384499,11932.2980086791,512701643039
2021,4,777.5011478944266,12198.4182211362,562714941595
2021,3,266.2551170851381,11738.2528165807,584005204269
2021,2,299.0346684566586,11471.9976994956,633898747189
2021,1,389.65568382357816,11882.363704555,543157338168
2020,4,578.1560699878506,11492.7080207314,918226047364
2020,3,243.53355539218575,10900.5349846809,559841712403
2020,2,234.62067285681164,10657.0014292887,534408948424
2020,1,242.62141427727425,11599.3902460069,494277527706
2019,4,654.2126678689382,11356.7688317296,594054498186
2019,3,294.0983917245524,10501.177562964,567163765289
2019,2,-203.78248511813192,10207.0791712395,466436260204
2019,1,231.10231420297347,11206.2341121485,413478734305
2018,4,380.04178959477076,11195.1875840459,638758111969
2018,3,220.99532545603662,11159.7557893126,448584722467
2018,2,167.53374046716772,10938.7604639032,495387443742
2018,1,294.20241408930457,11305.6485029236,374154922984
2017,4,370.40600903543157,11011.4460888343,380726324861
2017,3,-8.927899801413236,10712.777677464,360066471299
2017,2,93.36853919532349,10721.7055772654,389818843641
2017,1,103.84215690604681,11532.4639629036,313759010077
2016,4,998.7871217973601,11428.6218059975,478521725629
2016,3,-53.54818201181361,10466.0096675999,358136285873
2016,2,-160.74812588236273,14937.1683090744,317102750742
2016,1,342.4576105784479,15165.4214206595,402055528884
2015,4,2248.4021976468766,14822.9638100811,348099181434
2015,3,-7793.353261863999,5649.2638507468,206344311001
2015,2,-637.9791744895502,13442.6171126108,459687557644
2015,1,-534.089183656909,14073.3279308367,397441278676
2014,4,1539.4757497902406,14607.4171144936,479624703816
2014,3,140.95326503293037,15027.2161132573,415217109878
2014,2,563.0489946533905,14886.2628482244,406178477278
2014,1,115.13492306260322,14323.213853571,406201258249
2013,4,3987.8844597887874,14208.0789305084,535573216390
2013,3,-2170.34851721883,11952.8420799801,292594926425
2013,2,19.85964911582853,14123.1905971989,300464831593
2013,1,68.82161710671049,14103.3309480831,405872755918
